mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
220003,ICU Admission date,399423000,Date of admission,,ICU Admission date,399423000,Date of admission,0.85,ok,FSN matches date of admission; ICU is context
224183,PICC Line Cap Change,,,"code-search proposed 392020005 |Peripherally inserted central catheter care| at 0.70 for 'PICC Line Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",PICC Line Cap Change,392020005,Peripherally inserted central catheter care,0.70,device-care,Closest broader match for PICC line cap change procedure
224184,PICC Line Insertion Date,425196008,Peripherally inserted central catheterisation,,PICC Line Insertion Date,425196008,Insertion of peripherally inserted central catheter,0.85,ok,FSN matches PICC line insertion event
224185,PICC Line Change over Wire Date,416504003,Vascular line exchange over wire,,PICC Line Change over Wire Date,416504003,Vascular line exchange over wire,0.80,ok,PICC line change over wire = vascular line exchange over wire
224186,PICC Line Dressing Change,18949003,Change of dressing,,PICC Line Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; PICC line is context
224187,PICC Line Tubing Change,,,"code-search proposed 392020005 |Peripherally inserted central catheter care| at 0.75 for 'PICC Line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",PICC Line Tubing Change,392020005,Peripherally inserted central catheter care,0.75,device-care,Closest match to PICC line tubing change; broader procedure concept
224261,Multi Lumen Cap Change,,,"code-search proposed 226005007 |Care of central line| at 0.70 for 'Multi Lumen Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",Multi Lumen Cap Change,226005007,Care of central line,0.70,device-care,No exact 'cap change' code; closest broader procedure for multi-lumen central line care
224262,Multi Lumen Change over Wire Date,416504003,Vascular line exchange over wire,,Multi Lumen Change over Wire Date,416504003,Vascular line exchange over wire,0.80,ok,Multi Lumen Change over Wire maps to vascular line exchange over wire procedure
224279,Multi Lumen Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Multi Lumen Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Multi-lumen catheter dressing change matches vascular catheter insertion site dressing replacement
224280,Multi Lumen Insertion Date,,,"code-search proposed 233527006 |Central venous cannula insertion| at 0.70 for 'Multi Lumen Insertion Date', below the 0.8 threshold.",Multi Lumen Insertion Date,233527006,Central venous cannula insertion,0.70,below-threshold,Multi-lumen catheter is a central venous catheter; date/time is a qualifier not separately coded
224282,Multi Lumen Tubing Change,,,code-search returned no match for 'Multi Lumen Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Multi Lumen Tubing Change,,,,no-match,
224284,Arterial line Cap Change,,,"code-search proposed 422744007 |Arterial catheter care| at 0.75 for 'Arterial line Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",Arterial line Cap Change,422744007,Arterial catheter care,0.75,device-care,Closest broader match for arterial line cap change; no exact code exists
224285,Arterial line Change over Wire Date,416504003,Vascular line exchange over wire,,Arterial line Change over Wire Date,416504003,Vascular line exchange over wire,0.85,ok,Arterial line change over wire matches vascular line exchange over wire procedure
224287,Arterial Line Dressing Change,18949003,Change of dressing,,Arterial Line Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; arterial line is site qualifier
224288,Arterial line Insertion Date,392247006,Catheterisation of artery,,Arterial line Insertion Date,392247006,Insertion of catheter into artery,0.85,ok,FSN matches arterial line insertion; date/time is a recording qualifier
224290,Arterial line Tubing Change,,,"code-search proposed 422744007 |Arterial catheter care| at 0.75 for 'Arterial line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",Arterial line Tubing Change,422744007,Arterial catheter care,0.75,device-care,Arterial line care regime; tubing change is part of line care
224292,Cordis/Introducer Cap Change,,,code-search returned no match for 'Cordis/Introducer Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Cordis/Introducer Cap Change,,,,no-match,
224293,Cordis/Introducer Change over Wire Date,416504003,Vascular line exchange over wire,,Cordis/Introducer Change over Wire Date,416504003,Vascular line exchange over wire,0.80,ok,Captures the change-over-wire procedure; date/time is a qualifier
