mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
1/2NS1000,1/2 NS - 1000 mL Bag,http://www.nlm.nih.gov/research/umls/rxnorm,1807552,sodium chloride 0.45 % in 1000 ML Injection,,code-search,,1/2 NS - 1000 mL Bag,1807552,sodium chloride 0.45 % in 1000 ML Injection,0.85,ok,"1/2 NS = half normal saline (0.45%), 1000 mL bag"
4CMENB,Meningococcal Group B Vaccine (Trumenba) 0.5 mL Syringe,http://www.nlm.nih.gov/research/umls/rxnorm,1593135,meningococcal group B vaccine (MenB generic for Trumenba) 0.5 ML Prefilled Syringe,,code-search,,Meningococcal Group B Vaccine (Trumenba) 0.5 mL Syringe,1593135,meningococcal group B vaccine (MenB generic for Trumenba) 0.5 ML Prefilled Syringe,0.95,ok,FSN matches Trumenba 0.5 mL syringe exactly
ABAC20S,Abacavir Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,221052,abacavir sulfate,,term-join,Q1-exact,Abacavir Sulfate,,,,not-needed,
ABAC300,Ziagen,http://www.nlm.nih.gov/research/umls/rxnorm,221017,Ziagen,,term-join,Q1-exact,Ziagen,,,,not-needed,
ABE1200/400NS,ABE1200/400NS,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,ABE1200/400NS,,,,no-label,
ACAM333,Acamprosate 333mg Delayed Release Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,835726,acamprosate calcium 333 MG Delayed Release Oral Tablet,,code-search,,Acamprosate 333mg Delayed Release Tablet,835726,acamprosate calcium 333 MG Delayed Release Oral Tablet,0.95,ok,FSN matches acamprosate 333mg delayed release tablet
ACAR50,Precose,http://www.nlm.nih.gov/research/umls/rxnorm,151826,Precose,,term-join,Q1-exact,Precose,,,,not-needed,
ACD3/1000I,Citrate Dextrose 3% (ACD-A) CRRT,,,,"code-search proposed 372862008 'Anticoagulant' at 0.70, below the 0.8 threshold.",code-search,,Citrate Dextrose 3% (ACD-A) CRRT,372862008,Anticoagulant,0.70,below-threshold,"ACD-A is an anticoagulant solution; no exact substance code, broader category captures role"
ACE250,AcetaZOLamide,http://www.nlm.nih.gov/research/umls/rxnorm,167,acetazolamide,,term-join,Q1-exact,AcetaZOLamide,,,,not-needed,
ACE500,Diamox Sequels,http://www.nlm.nih.gov/research/umls/rxnorm,307701,acetazolamide 500 MG Extended Release Oral Capsule,,code-search,,Diamox Sequels,307701,acetazolamide 500 MG Extended Release Oral Capsule,0.80,ok,Diamox Sequels is acetazolamide extended release brand
ACEB200,Acebutolol HCl,http://www.nlm.nih.gov/research/umls/rxnorm,142130,acebutolol hydrochloride,,term-join,Q2-salt,Acebutolol HCl,,,,not-needed,
ACET1/P1000I,INV-Acetaminophen,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,INV-Acetaminophen,161,acetaminophen,0.85,ok,FSN matches ingredient acetaminophen exactly
ACET1000I,Ofirmev,http://www.nlm.nih.gov/research/umls/rxnorm,1041527,Ofirmev,,term-join,Q1-exact,Ofirmev,,,,not-needed,
ACET20/4I,Acetylcysteine Inhaled - For interventional pulmonary use only,http://www.nlm.nih.gov/research/umls/rxnorm,197,acetylcysteine,,code-search,,Acetylcysteine Inhaled - For interventional pulmonary use only,197,acetylcysteine,0.80,ok,Base ingredient matches; route/use qualifier not separately coded
ACET250D,AcetaZOLamide Sodium 250 mg / 25 mL 5% Dextrose,http://snomed.info/sct,72469007,Acetazolamide sodium,,code-search,,AcetaZOLamide Sodium 250 mg / 25 mL 5% Dextrose,72469007,Acetazolamide sodium,0.85,ok,Substance matches; concentration/diluent are non-coded qualifiers
ACET25T,Acetic Acid 0.25% Irrig. Soln 1000mL Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,307707,acetic acid 0.25 % Irrigation Solution,,code-search,,Acetic Acid 0.25% Irrig. Soln 1000mL Bottle,307707,acetic acid 0.25 % Irrigation Solution,0.85,ok,FSN matches input exactly
ACET2O,Acetic Acid 2% Otic Solution 15mL Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,197305,acetic acid 2 % Otic Solution,,code-search,,Acetic Acid 2% Otic Solution 15mL Bottle,197305,acetic acid 2 % Otic Solution,0.90,ok,"FSN matches drug, strength, and form; bottle size is packaging detail"
ACET325,Tylenol 8 Hour,http://www.nlm.nih.gov/research/umls/rxnorm,1148399,acetaminophen 650 MG 8HR Extended Release Oral Tablet,,code-search,,Tylenol 8 Hour,1148399,acetaminophen 650 MG 8HR Extended Release Oral Tablet,0.85,ok,Tylenol 8 Hour is extended-release acetaminophen 650mg; matches 8HR product
