mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
50801,Alveolar-arterial Gradient,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Alveolar-arterial Gradient' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Alveolar-arterial Gradient,,,,no-match,
50802,Base Excess,11555-0,Base excess in Blood by calculation,,Hospital laboratory analyte measured in Blood: Base Excess,11555-0,Base excess in Blood by calculation,0.90,ok,FSN matches Blood Base excess without unstated specimen specifier
50803,"Calculated Bicarbonate, Whole Blood",1959-6,Bicarbonate [Moles/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Calculated Bicarbonate, Whole Blood",1959-6,Bicarbonate [Moles/volume] in Blood,0.80,ok,Whole blood bicarbonate; calculated qualifier not separately coded
50804,Calculated Total CO2,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",,Hospital laboratory analyte measured in Blood: Calculated Total CO2,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",0.85,ok,FSN matches Calculated Total CO2 in Blood
50805,Carboxyhemoglobin,31157-1,Carboxyhemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Carboxyhemoglobin,31157-1,Carboxyhemoglobin [Mass/volume] in Blood,0.85,ok,"Analyte measured in blood, no ratio qualifier"
50806,"Chloride, Whole Blood",2069-3,Chloride [Moles/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Chloride, Whole Blood",2069-3,Chloride [Moles/volume] in Blood,0.85,ok,FSN matches Chloride in whole blood specimen
50808,Free Calcium,1994-3,Calcium.ionized [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Free Calcium,1994-3,Calcium.ionized [Moles/volume] in Blood,0.85,ok,Free calcium = ionized calcium in blood; matches concept
50809,Glucose,2339-0,Glucose [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Glucose,2339-0,Glucose [Mass/volume] in Blood,0.85,ok,Generic blood glucose analyte; matches input
50810,"Hematocrit, Calculated",20570-8,Hematocrit [Volume Fraction] of Blood by calculation,,"Hospital laboratory analyte measured in Blood: Hematocrit, Calculated",20570-8,Hematocrit [Volume Fraction] of Blood by calculation,0.85,ok,"FSN matches Blood, Calculated hematocrit exactly"
50811,Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,0.85,ok,General hemoglobin analyte measured in blood; matches input
50812,Intubated,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Intubated' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Intubated,,,,no-match,
50813,Lactate,32693-4,Lactate [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Lactate,32693-4,Lactate [Moles/volume] in Blood,0.85,ok,Lactate analyte measured in blood; molar unit standard
50814,Methemoglobin,15082-1,Methemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Methemoglobin,15082-1,Methemoglobin [Mass/volume] in Blood,0.85,ok,Methemoglobin analyte measured in blood; direct match
50815,O2 Flow,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: O2 Flow' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: O2 Flow,,,,no-match,
50816,Oxygen,11556-8,Oxygen [Partial pressure] in Blood,,Hospital laboratory analyte measured in Blood: Oxygen,11556-8,Oxygen [Partial pressure] in Blood,0.85,ok,Oxygen analyte measured in blood; generic blood specimen
50817,Oxygen Saturation,71853-6,Oxygen saturation [Pure mass fraction] in Blood,,Hospital laboratory analyte measured in Blood: Oxygen Saturation,71853-6,Oxygen saturation [Pure mass fraction] in Blood,0.85,ok,"Specimen is unspecified Blood, matching input; others overstep with specific sites"
50818,pCO2,11557-6,Carbon dioxide [Partial pressure] in Blood,,Hospital laboratory analyte measured in Blood: pCO2,11557-6,Carbon dioxide [Partial pressure] in Blood,0.85,ok,pCO2 is partial pressure of carbon dioxide in blood; FSN matches exactly
50819,PEEP,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: PEEP' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: PEEP,,,,no-match,
50820,pH,11558-4,pH of Blood,,Hospital laboratory analyte measured in Blood: pH,11558-4,pH of Blood,0.85,ok,FSN matches pH measured in blood exactly
50821,pO2,11556-8,Oxygen [Partial pressure] in Blood,,Hospital laboratory analyte measured in Blood: pO2,11556-8,Oxygen [Partial pressure] in Blood,0.85,ok,FSN matches pO2 in blood exactly
50822,"Potassium, Whole Blood",6298-4,Potassium [Moles/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Potassium, Whole Blood",6298-4,Potassium [Moles/volume] in Blood,0.85,ok,Potassium measured in whole blood; matches analyte and specimen
50823,Required O2,11556-8,Oxygen [Partial pressure] in Blood,,Hospital laboratory analyte measured in Blood: Required O2,11556-8,Oxygen [Partial pressure] in Blood,0.85,ok,Oxygen analyte measured in blood; pO2 is the standard blood oxygen measure
50824,"Sodium, Whole Blood",2947-0,Sodium [Moles/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Sodium, Whole Blood",2947-0,Sodium [Moles/volume] in Blood,0.85,ok,Sodium measured in whole blood; FSN matches analyte and specimen
50825,Temperature,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Temperature' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Temperature,,,,no-match,
50826,Tidal Volume,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Tidal Volume' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Tidal Volume,,,,no-match,
50827,Ventilation Rate,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Ventilation Rate' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Ventilation Rate,,,,no-match,
50828,Ventilator,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Ventilator' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Ventilator,,,,no-match,
50829,Fluid Type,14725-6,[Type] of Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: Fluid Type,14725-6,[Type] of Body fluid,0.85,ok,FSN matches Fluid Type in Body fluid
50830,"pCO2, Body Fluid",2023-0,Carbon dioxide [Partial pressure] in Body fluid,,"Hospital laboratory analyte measured in Other Body Fluid: pCO2, Body Fluid",2023-0,Carbon dioxide [Partial pressure] in Body fluid,0.85,ok,FSN matches pCO2 in Body fluid exactly
50831,pH,2748-2,pH of Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: pH,2748-2,pH of Body fluid,0.85,ok,FSN matches pH in body fluid exactly
50832,"pO2, Body Fluid",2706-0,Oxygen [Partial pressure] in Body fluid,,"Hospital laboratory analyte measured in Other Body Fluid: pO2, Body Fluid",2706-0,Oxygen [Partial pressure] in Body fluid,0.85,ok,FSN matches pO2 in Body Fluid exactly
50833,Potassium,2821-7,Potassium [Moles/volume] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: Potassium,2821-7,Potassium [Moles/volume] in Body fluid,0.85,ok,Potassium analyte measured in body fluid
50834,"Sodium, Body Fluid",2950-4,Sodium [Moles/volume] in Body fluid,,"Hospital laboratory analyte measured in Other Body Fluid: Sodium, Body Fluid",2950-4,Sodium [Moles/volume] in Body fluid,0.85,ok,FSN matches sodium measured in body fluid
50835,"Albumin, Ascites",1749-1,Albumin [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Albumin, Ascites",1749-1,Albumin [Mass/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; FSN matches analyte and specimen
50836,"Amylase, Ascites",1797-0,Amylase [Enzymatic activity/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Amylase, Ascites",1797-0,Amylase [Enzymatic activity/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; FSN matches analyte and specimen
50837,"Bicarbonate, Ascites",54360-3,Bicarbonate [Moles/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Bicarbonate, Ascites",54360-3,Bicarbonate [Moles/volume] in Peritoneal fluid,0.85,ok,FSN matches bicarbonate in ascites/peritoneal fluid
50838,"Bilirubin, Total, Ascites",14422-0,Bilirubin.total [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Bilirubin, Total, Ascites",14422-0,Bilirubin.total [Mass/volume] in Peritoneal fluid,0.85,ok,Total bilirubin in ascites (peritoneal fluid); matches input
50839,"Chloride, Ascites",33366-6,Chloride [Moles/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Chloride, Ascites",33366-6,Chloride [Moles/volume] in Peritoneal fluid,0.85,ok,Chloride in ascites; peritoneal fluid synonym 'Ascite' matches
50840,"Cholesterol, Ascites",14441-0,Cholesterol [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Cholesterol, Ascites",14441-0,Cholesterol [Mass/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; FSN matches analyte and specimen
50841,"Creatinine, Ascites",12191-3,Creatinine [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Creatinine, Ascites",12191-3,Creatinine [Mass/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; creatinine analyte matches
50842,"Glucose, Ascites",2347-3,Glucose [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Glucose, Ascites",2347-3,Glucose [Mass/volume] in Peritoneal fluid,0.85,ok,Glucose measured in ascites (peritoneal fluid); matches analyte and specimen
50843,"Lactate Dehydrogenase, Ascites",,,"code-search returned no match for 'Hospital laboratory analyte measured in Ascites: Lactate Dehydrogenase, Ascites' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).","Hospital laboratory analyte measured in Ascites: Lactate Dehydrogenase, Ascites",,,,no-match,
50844,"Lipase, Ascites",32722-1,Lipase [Enzymatic activity/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Lipase, Ascites",32722-1,Lipase [Enzymatic activity/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; FSN matches analyte and specimen
50845,"Miscellaneous, Ascites",,,"code-search returned no match for 'Hospital laboratory analyte measured in Ascites: Miscellaneous, Ascites' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).","Hospital laboratory analyte measured in Ascites: Miscellaneous, Ascites",,,,no-match,
50846,"Osmolality, Ascites",2691-4,Osmolality of Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Osmolality, Ascites",2691-4,Osmolality of Peritoneal fluid,0.85,ok,FSN matches; Ascites is peritoneal fluid
50847,"Potassium, Ascites",49789-1,Potassium [Moles/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Potassium, Ascites",49789-1,Potassium [Moles/volume] in Peritoneal fluid,0.85,ok,Ascites is peritoneal fluid; FSN matches analyte and specimen
50848,"Sodium, Ascites",49790-9,Sodium [Moles/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Sodium, Ascites",49790-9,Sodium [Moles/volume] in Peritoneal fluid,0.85,ok,Sodium in ascites (peritoneal fluid); synonym confirms Ascite
50849,"Total Protein, Ascites",2883-7,Protein [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Total Protein, Ascites",2883-7,Protein [Mass/volume] in Peritoneal fluid,0.85,ok,Total protein in ascites = protein in peritoneal fluid
50850,"Triglycerides, Ascites",14447-7,Triglyceride [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Triglycerides, Ascites",14447-7,Triglyceride [Mass/volume] in Peritoneal fluid,0.85,ok,Ascites = peritoneal fluid; FSN matches analyte and specimen
50851,"Urea Nitrogen, Ascites",12265-5,Urea nitrogen [Mass/volume] in Peritoneal fluid,,"Hospital laboratory analyte measured in Ascites: Urea Nitrogen, Ascites",12265-5,Urea nitrogen [Mass/volume] in Peritoneal fluid,0.85,ok,Ascites is synonymous with peritoneal fluid; FSN matches input exactly
50852,% Hemoglobin A1c,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,,Hospital laboratory analyte measured in Blood: % Hemoglobin A1c,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,0.95,ok,FSN matches HbA1c as fraction in blood
50853,25-OH Vitamin D,1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: 25-OH Vitamin D,1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,0.90,ok,25-OH Vitamin D measured in blood; serum/plasma matches
50854,Absolute A1c,41995-2,Hemoglobin A1c [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute A1c,41995-2,Hemoglobin A1c [Mass/volume] in Blood,0.85,ok,Absolute A1c = mass/volume concentration in blood
50855,Absolute Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,0.85,ok,Absolute hemoglobin in blood = quantitative hemoglobin concentration
50856,Acetaminophen,60048-6,Acetaminophen [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Acetaminophen,60048-6,Acetaminophen [Mass/volume] in Blood,0.85,ok,FSN matches blood acetaminophen analyte exactly
50857,Acetone,9425-0,Acetone [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Acetone,9425-0,Acetone [Mass/volume] in Blood,0.85,ok,Acetone measured in blood; standard quantitative assay
50858,Acid Phosphatase,1711-1,Acid phosphatase [Enzymatic activity/volume] in Blood,,Hospital laboratory analyte measured in Blood: Acid Phosphatase,1711-1,Acid phosphatase [Enzymatic activity/volume] in Blood,0.95,ok,FSN matches acid phosphatase in blood; no extra specifier
50859,"Acid Phosphatase, Non-Prostatic",12173-1,Non prostatic acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Acid Phosphatase, Non-Prostatic",12173-1,Non prostatic acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,0.85,ok,"FSN matches analyte; specimen detail is LOINC structural, not overstepping"
50860,"AFP, Maternal Screen",1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: AFP, Maternal Screen",1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,0.85,ok,AFP measured in blood (serum/plasma); maternal screen context
50861,Alanine Aminotransferase (ALT),76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,,Hospital laboratory analyte measured in Blood: Alanine Aminotransferase (ALT),76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,0.85,ok,FSN matches ALT in blood exactly
50862,Albumin,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Albumin' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Albumin,,,,no-match,
50863,Alkaline Phosphatase,1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Blood,,Hospital laboratory analyte measured in Blood: Alkaline Phosphatase,1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Blood,0.95,ok,FSN matches: alkaline phosphatase measured in blood
50864,Alpha-Fetoprotein,1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Alpha-Fetoprotein,1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,0.85,ok,Blood AFP measured in serum/plasma; cord blood candidate is narrower
50865,Amikacin,35669-1,Amikacin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Amikacin,35669-1,Amikacin [Mass/volume] in Serum or Plasma,0.85,ok,Amikacin analyte measured in blood (serum/plasma); general measurement
50866,Ammonia,32664-5,Ammonia [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Ammonia,32664-5,Ammonia [Mass/volume] in Blood,0.85,ok,Ammonia measured in blood; matches analyte and specimen
50867,Amylase,76630-3,Amylase [Enzymatic activity/volume] in Blood,,Hospital laboratory analyte measured in Blood: Amylase,76630-3,Amylase [Enzymatic activity/volume] in Blood,0.85,ok,FSN matches amylase measured in blood
50868,Anion Gap,41276-7,Anion gap in Blood by calculation,,Hospital laboratory analyte measured in Blood: Anion Gap,41276-7,Anion gap in Blood by calculation,0.90,ok,Generic anion gap in blood; others add unstated ion/specimen specificity
50869,Anti-DGP (IgA/IgG),57776-7,Gliadin peptide IgA and IgG panel - Serum,,Hospital laboratory analyte measured in Blood: Anti-DGP (IgA/IgG),57776-7,Gliadin peptide IgA and IgG panel - Serum,0.85,ok,Anti-DGP = deamidated gliadin peptide; IgA/IgG panel matches
50870,"Anti-Gliadin Antibody, IgA",6924-5,Gliadin IgA Ab [Units/volume] in Serum,,"Hospital laboratory analyte measured in Blood: Anti-Gliadin Antibody, IgA",6924-5,Gliadin IgA Ab [Units/volume] in Serum,0.85,ok,Anti-Gliadin Antibody IgA measured in blood; serum is blood-derived
50871,Anti-Mitochondrial Antibody,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Anti-Mitochondrial Antibody' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Anti-Mitochondrial Antibody,,,,no-match,
50872,Anti-Neutrophil Cytoplasmic Antibody,17351-8,Neutrophil cytoplasmic Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Anti-Neutrophil Cytoplasmic Antibody,17351-8,Neutrophil cytoplasmic Ab [Presence] in Serum,0.85,ok,General ANCA test in blood; serum is the blood specimen
50873,Anti-Nuclear Antibody,8061-4,Nuclear Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Anti-Nuclear Antibody,8061-4,Nuclear Ab [Presence] in Serum,0.85,ok,Anti-nuclear antibody measured in blood; serum is closest blood specimen
50874,"Anti-Nuclear Antibody, Titer",29953-7,Nuclear Ab [Titer] in Serum,,"Hospital laboratory analyte measured in Blood: Anti-Nuclear Antibody, Titer",29953-7,Nuclear Ab [Titer] in Serum,0.85,ok,ANA titer in blood; FSN matches analyte and property
50875,Anti-Parietal Cell Antibody,14241-4,Parietal cell Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Anti-Parietal Cell Antibody,14241-4,Parietal cell Ab [Presence] in Serum,0.85,ok,Generic parietal cell antibody in blood/serum; method unspecified
50876,Anti-Smooth Muscle Antibody,14252-1,Smooth muscle Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Anti-Smooth Muscle Antibody,14252-1,Smooth muscle Ab [Presence] in Serum,0.85,ok,"Anti-smooth muscle antibody in blood; serum presence, no unstated method"
50877,Anti-Thyroglobulin Antibodies,15210-8,Thyroglobulin Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Anti-Thyroglobulin Antibodies,15210-8,Thyroglobulin Ab [Presence] in Serum,0.85,ok,Anti-thyroglobulin antibody measured in blood/serum; generic presence test
