mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
00000002,Penicillin Antibiotic - Natural,373291007,Natural penicillin,,373291007,Natural penicillin,0.95,ok,FSN matches 'Natural penicillin' exactly
00000003,Aminopenicillin Antibiotic,373298001,Aminopenicillin,,373298001,Aminopenicillin,0.85,ok,FSN matches input exactly; 'Antibiotic' is a category qualifier
00000004,Penicillin Antibiotic - Penicillinase-resistant,373277001,Penicillinase-resistant penicillin,,373277001,Penicillinase-resistant penicillin,0.98,ok,FSN matches input exactly
00000011,Cephalosporin Antibiotics - 1st Generation,372889003,First generation cephalosporin,,372889003,First generation cephalosporin,0.97,ok,FSN matches input exactly
00000012,Cephalosporin Antibiotics - 2nd Generation,372814002,Second generation cephalosporin,,372814002,Second generation cephalosporin,0.97,ok,FSN matches input exactly
00000013,Cephalosporin Antibiotics - 3rd Generation,372859005,Third generation cephalosporin,,372859005,Third generation cephalosporin,0.97,ok,FSN matches input exactly
00000014,Cephalosporin Antibiotics - 4th Generation,395959007,Fourth generation cephalosporin,,395959007,Fourth generation cephalosporin,0.97,ok,FSN matches input exactly
00000020,Lincosamide Antibiotics,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 8 tool call(s)
00000034,Aminoglycoside Antibiotic,14443002,Aminoglycoside antibacterial,,14443002,Substance with aminoglycoside structure and antibacterial mechanism of action,0.85,ok,FSN captures aminoglycoside antibiotic meaning
00000038,Antitubercular Combinations,,,"code-search proposed 2537003 'Antituberculosis agent' at 0.75, below the 0.8 threshold.",2537003,Antituberculosis agent,0.75,below-threshold,Closest match; no combination product code found
00000041,Antifungal other,373219008,Antifungal,,373219008,Antifungal,0.85,ok,General antifungal substance; 'other' implies unspecified antifungal
00000042,Antifungal - Imidazoles,372631007,Imidazole antifungal,,372631007,Imidazole antifungal,0.85,ok,
00000043,Antifungal - Triazoles,372632000,Triazole antifungal,,372632000,Triazole antifungal,0.85,ok,
00000047,Antiretroviral - Nucleoside Reverse Transcriptase Inhibitors (NRTI),,,"code-search proposed 372531002 'Reverse transcriptase inhibitor' at 0.75, below the 0.8 threshold.",372531002,Reverse transcriptase inhibitor,0.75,below-threshold,Class-level concept; broader than NRTI but no exact NRTI class code exists
00000050,Antiretroviral - Non-Nucleoside Reverse Transcriptase Inhib (NNRTI),,,"code-search proposed 372531002 'Reverse transcriptase inhibitor' at 0.70, below the 0.8 threshold.",372531002,Reverse transcriptase inhibitor,0.70,below-threshold,No NNRTI class concept exists; closest broader substance class match
00000056,Herpes Antiviral Agent - Purine Analogs,,,"code-search proposed 406764006 'Guanine nucleoside analogue' at 0.75, below the 0.8 threshold.",406764006,Guanine nucleoside analogue,0.75,below-threshold,Acyclic guanine nucleoside analog class = herpes antiviral purine analogs
00000057,Herpes Antiviral Agent - Thymidine Analogs,,,"code-search proposed 714629005 'Nucleoside analogue' at 0.75, below the 0.8 threshold.",714629005,Nucleoside analogue,0.75,below-threshold,Thymidine analog antivirals are nucleoside analogues; closest broader class match
00000079,Vaccine Viral Combinations,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 3 tool call(s)
00000083,Toxoid Vaccine Combinations,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 6 tool call(s)
00000095,Antineoplastic - Alkylating Agent - Nitrogen Mustards,372609004,Nitrogen mustard derivative,,372609004,Nitrogen mustard derivative,0.85,ok,FSN matches the nitrogen mustard class of alkylating antineoplastics
00000096,Antineoplastic - Alkylating Agent - Nitrosoureas,372610009,Nitrosurea,,372610009,Nitrosurea,0.90,ok,Nitrosoureas are the specific class named; inherently alkylating antineoplastic agents
00000104,Antineoplastic - Antiandrogens,1193674004,Antiandrogen,,1193674004,Antiandrogen,0.82,ok,FSN matches antiandrogen meaning; antineoplastic qualifier not separately coded
00000105,Antineoplastic - Selective Estrogen Receptor Modulators (SERMs),415515000,Selective estrogen receptor modulator,,415515000,Selective estrogen receptor modulator,0.90,ok,"FSN is SERM class; antineoplastic context is qualifier, not overstep"
00000106,Antineoplastic - Aromatase Inhibitors,413575009,Aromatase inhibitor,,413575009,Aromatase inhibitor,0.90,ok,FSN matches the class; specific drugs are narrower
00000108,Antineoplastic - Progestins,419430000,Synthetic progestogen,,419430000,Synthetic progestogen,0.80,ok,Synonym 'Progestin' matches; captures the class meaning
00000109,Antineoplastic - LHRH (GnRH) Agonist Analog Pituitary Suppressants,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"The input describes a class of antineoplastic agents (LHRH/GnRH agonist analog pituitary suppressants) — a grouping of multiple substances. The candidates are individual substances (goserelin, leuprorelin, triptorelin, etc.), each narrower than the described therapeutic class. Selecting any single one would add unstated specificity. No class-level ""LHRH agonist"" concept was found in this Substance ValueSet."
00000112,Antineoplastic - Topoisomerase I Inhibitors,372537003,Topoisomerase inhibitor,,372537003,Topoisomerase inhibitor,0.80,ok,Substance class matches; 'I' subtype and antineoplastic use unstated in FSN
00000113,Antineoplastic - Radiopharmaceuticals,372688009,Antineoplastic agent,,372688009,Antineoplastic agent,0.85,ok,Primary concept; no single code for antineoplastic radiopharmaceutical exists
