mimic_code,mimic_display,rxnorm_code,rxnorm_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
000006,digitoxin,3403,digitoxin,,term-join,Q1-exact,,,,not-needed,
000009,digitoxin,3403,digitoxin,,term-join,Q1-exact,,,,not-needed,
000011,digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000012,Digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000013,digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000014,digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000015,Lanoxin,202988,Lanoxin,,term-join,Q1-exact,,,,not-needed,
000017,digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000018,Lanoxin,202988,Lanoxin,,term-join,Q1-exact,,,,not-needed,
000019,Lanoxin,202988,Lanoxin,,term-join,Q1-exact,,,,not-needed,
000020,digoxin,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
000029,caffeine,1886,caffeine,,term-join,Q1-exact,,,,not-needed,
000032,caffeine,1886,caffeine,,term-join,Q1-exact,,,,not-needed,
000033,Vivarin,220917,Vivarin,,term-join,Q1-exact,,,,not-needed,
000056,THEOPHYLLINE ANHYDROUS,91178,theophylline anhydrous,,term-join,Q1-exact,,,,not-needed,
000063,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000066,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000069,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000076,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000083,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000084,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000085,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000087,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000088,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000090,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000091,theophylline [Theochron],10438,theophylline,,term-join,B1-generic,,,,not-needed,
000093,theophylline [Theochron],10438,theophylline,,term-join,B1-generic,,,,not-needed,
000094,theophylline,10438,theophylline,,term-join,Q1-exact,,,,not-needed,
000110,aminophylline,689,aminophylline,,term-join,Q1-exact,,,,not-needed,
000123,aminophylline,689,aminophylline,,term-join,Q1-exact,,,,not-needed,
000141,dobutamine,3616,dobutamine,,term-join,Q1-exact,,,,not-needed,
000175,Ipratropium Bromide HFA MDI,203212,ipratropium bromide,,code-search,,203212,ipratropium bromide,0.85,ok,Generic drug matches; MDI strength unstated so narrower candidates overstep
000178,epinephrine base (refill),3992,epinephrine,,code-search,,3992,epinephrine,0.85,ok,FSN matches; 'base (refill)' is non-coded qualifier
000180,Primatene Mist,219408,Primatene Mist Inhaler,,code-search,,219408,Primatene Mist Inhaler,0.95,ok,Brand name matches the inhaler product
000211,beclomethasone dipropionate,1348,beclomethasone dipropionate,,term-join,Q1-exact,,,,not-needed,
000212,Triamcinolone Acetonide,10761,triamcinolone acetonide,,term-join,Q1-exact,,,,not-needed,
000213,Flunisolide,25120,flunisolide,,term-join,Q1-exact,,,,not-needed,
000215,quinidine gluconate,35220,quinidine gluconate,,term-join,Q1-exact,,,,not-needed,
000222,quinidine sulfate,9069,quinidine sulfate,,term-join,Q1-exact,,,,not-needed,
000223,quinidine sulfate,9069,quinidine sulfate,,term-join,Q1-exact,,,,not-needed,
000230,Procainamide,8700,procainamide,,term-join,Q1-exact,,,,not-needed,
000239,Norpace,203631,Norpace,,term-join,Q1-exact,,,,not-needed,
000240,Norpace,203631,Norpace,,term-join,Q1-exact,,,,not-needed,
000241,disopyramide phosphate [Norpace CR],203178,disopyramide phosphate,,term-join,B1-generic,,,,not-needed,
000242,Norpace CR,104285,disopyramide 250 MG Extended Release Oral Capsule,,code-search,,104285,disopyramide 250 MG Extended Release Oral Capsule,0.85,ok,Norpace CR is controlled-release disopyramide; extended release capsule matches
000246,Lidocaine 2000mg 500mL BAG,1737744,lidocaine HCl 0.4 % in 500 ML Injection,,code-search,,1737744,lidocaine HCl 0.4 % in 500 ML Injection,0.90,ok,2000mg/500mL = 4mg/mL = 0.4%; matches concentration and volume
000250,lidocaine HCl,142440,lidocaine hydrochloride,,term-join,Q2-salt,,,,not-needed,
000253,Lidocaine (Bristojet),6387,lidocaine,,term-join,Q3-paren,,,,not-needed,
000263,Tambocor,152403,Tambocor,,term-join,Q1-exact,,,,not-needed,
000264,Flecainide,4441,flecainide,,term-join,Q1-exact,,,,not-needed,
000265,Flecainide,4441,flecainide,,term-join,Q1-exact,,,,not-needed,
000266,Pacerone,219038,Pacerone,,term-join,Q1-exact,,,,not-needed,
000267,mexiletine,6926,mexiletine,,term-join,Q1-exact,,,,not-needed,
000268,mexiletine,6926,mexiletine,,term-join,Q1-exact,,,,not-needed,
000269,mexiletine,6926,mexiletine,,term-join,Q1-exact,,,,not-needed,
000282,hydralazine,5470,hydralazine,,term-join,Q1-exact,,,,not-needed,
000283,HydrALAZINE 20mg/1mL 1mL VIAL,966571,hydrALAZINE HCl 20 MG in 1 ML Injection,,code-search,,966571,hydrALAZINE HCl 20 MG in 1 ML Injection,0.95,ok,FSN matches hydrALAZINE 20mg/1mL injection exactly
000284,Hydralazine,5470,hydralazine,,term-join,Q1-exact,,,,not-needed,
000285,Hydralazine,5470,hydralazine,,term-join,Q1-exact,,,,not-needed,
000286,HydrALAZINE 25mg TAB,905225,hydrALAZINE HCl 25 MG Oral Tablet,,code-search,,905225,hydrALAZINE HCl 25 MG Oral Tablet,0.95,ok,Single-ingredient hydralazine 25mg tablet matches exactly
000287,Hydralazine,5470,hydralazine,,term-join,Q1-exact,,,,not-needed,
000291,prazosin [Minipress],8629,prazosin,,term-join,B1-generic,,,,not-needed,
000292,prazosin [Minipress],8629,prazosin,,term-join,B1-generic,,,,not-needed,
000293,prazosin [Minipress],8629,prazosin,,term-join,B1-generic,,,,not-needed,
000298,diazoxide [Proglycem],3327,diazoxide,,term-join,B1-generic,,,,not-needed,
000299,minoxidil,6984,minoxidil,,term-join,Q1-exact,,,,not-needed,
