mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,normalisation,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
220862,Albumin 25%,http://www.nlm.nih.gov/research/umls/rxnorm,828529,"albumin human, USP",,code-search,,Albumin 25%,,828529,"albumin human, USP",0.85,ok,Human albumin; 25% is a concentration qualifier
220864,Albumin 5%,http://www.nlm.nih.gov/research/umls/rxnorm,1741410,albumin human 5 % in 100 ML Injection,,code-search,,Albumin 5%,,1741410,albumin human 5 % in 100 ML Injection,0.80,ok,5% human albumin; volume is unstated pack-size qualifier
220949,Dextrose 5%,http://www.nlm.nih.gov/research/umls/rxnorm,309778,dextrose 5 % Injectable Solution,,code-search,,Dextrose 5%,,309778,dextrose 5 % Injectable Solution,0.95,ok,FSN matches input exactly
220950,Dextrose 10%,http://snomed.info/sct,776119003,Glucose only product,,code-search,,Dextrose 10%,,776119003,Glucose only product,0.85,ok,Active replacement for Dextrose 10% solution; dextrose=glucose
220952,Dextrose 50%,http://www.nlm.nih.gov/research/umls/rxnorm,237653,dextrose 50 % Injectable Solution,,code-search,,Dextrose 50%,,237653,dextrose 50 % Injectable Solution,0.95,ok,FSN matches input exactly
220970,Fresh Frozen Plasma,http://snomed.info/sct,346447007,Fresh frozen plasma,,code-search,,Fresh Frozen Plasma,,346447007,Fresh frozen plasma,1.00,ok,
220995,Sodium Bicarbonate 8.4%,http://www.nlm.nih.gov/research/umls/rxnorm,36676,sodium bicarbonate,,code-search,,Sodium Bicarbonate 8.4%,,36676,sodium bicarbonate,0.90,ok,Input specifies concentration only; generic sodium bicarbonate matches without unstated volume/MEQ
221036,Nutren Renal (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Renal,N1-rate,,,,not-searchable,
221207,Impact (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact,N1-rate,,,,not-searchable,
221261,Abciximab (Reopro),http://www.nlm.nih.gov/research/umls/rxnorm,83929,abciximab,,term-join,Q3-paren,Abciximab (Reopro),,,,,not-needed,
221282,Adenosine,http://www.nlm.nih.gov/research/umls/rxnorm,296,adenosine,,term-join,Q1-exact,Adenosine,,,,,not-needed,
221289,Epinephrine,http://www.nlm.nih.gov/research/umls/rxnorm,3992,epinephrine,,term-join,Q1-exact,Epinephrine,,,,,not-needed,
221319,Alteplase (TPA),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q3-paren,Alteplase (TPA),,,,,not-needed,
221342,Aminophylline,http://www.nlm.nih.gov/research/umls/rxnorm,689,aminophylline,,term-join,Q1-exact,Aminophylline,,,,,not-needed,
221347,Amiodarone,http://www.nlm.nih.gov/research/umls/rxnorm,703,amiodarone,,term-join,Q1-exact,Amiodarone,,,,,not-needed,
221385,Lorazepam (Ativan),http://www.nlm.nih.gov/research/umls/rxnorm,6470,lorazepam,,term-join,Q3-paren,Lorazepam (Ativan),,,,,not-needed,
221393,Atropine,http://www.nlm.nih.gov/research/umls/rxnorm,1223,atropine,,term-join,Q1-exact,Atropine,,,,,not-needed,
221429,Esmolol,http://www.nlm.nih.gov/research/umls/rxnorm,49737,esmolol,,term-join,Q1-exact,Esmolol,,,,,not-needed,
221456,Calcium Gluconate,http://www.nlm.nih.gov/research/umls/rxnorm,1908,calcium gluconate,,term-join,Q1-exact,Calcium Gluconate,,,,,not-needed,
221468,Diltiazem,http://www.nlm.nih.gov/research/umls/rxnorm,3443,diltiazem,,term-join,Q1-exact,Diltiazem,,,,,not-needed,
221555,Cisatracurium,http://www.nlm.nih.gov/research/umls/rxnorm,319864,cisatracurium,,term-join,Q1-exact,Cisatracurium,,,,,not-needed,
221623,Diazepam (Valium),http://www.nlm.nih.gov/research/umls/rxnorm,3322,diazepam,,term-join,Q3-paren,Diazepam (Valium),,,,,not-needed,
221653,Dobutamine,http://www.nlm.nih.gov/research/umls/rxnorm,3616,dobutamine,,term-join,Q1-exact,Dobutamine,,,,,not-needed,
221662,Dopamine,http://www.nlm.nih.gov/research/umls/rxnorm,3628,dopamine,,term-join,Q1-exact,Dopamine,,,,,not-needed,
221668,Midazolam (Versed),http://www.nlm.nih.gov/research/umls/rxnorm,6960,midazolam,,term-join,Q3-paren,Midazolam (Versed),,,,,not-needed,
221689,Drotrecogin (Xigris),http://www.nlm.nih.gov/research/umls/rxnorm,352374,drotrecogin alfa,,code-search,,Drotrecogin (Xigris),,352374,drotrecogin alfa,0.85,ok,Xigris is brand for drotrecogin alfa (activated)
221712,Ketamine,http://www.nlm.nih.gov/research/umls/rxnorm,6130,ketamine,,term-join,Q1-exact,Ketamine,,,,,not-needed,
221733,Factor VIII,http://www.nlm.nih.gov/research/umls/rxnorm,4257,factor VIII,,term-join,Q1-exact,Factor VIII,,,,,not-needed,
221744,Fentanyl,http://www.nlm.nih.gov/research/umls/rxnorm,4337,fentanyl,,term-join,Q1-exact,Fentanyl,,,,,not-needed,
221749,Phenylephrine,http://www.nlm.nih.gov/research/umls/rxnorm,8163,phenylephrine,,term-join,Q1-exact,Phenylephrine,,,,,not-needed,
221794,Furosemide (Lasix),http://www.nlm.nih.gov/research/umls/rxnorm,4603,furosemide,,term-join,Q3-paren,Furosemide (Lasix),,,,,not-needed,
221824,Haloperidol (Haldol),http://www.nlm.nih.gov/research/umls/rxnorm,5093,haloperidol,,term-join,Q3-paren,Haloperidol (Haldol),,,,,not-needed,
221828,Hydralazine,http://www.nlm.nih.gov/research/umls/rxnorm,5470,hydralazine,,term-join,Q1-exact,Hydralazine,,,,,not-needed,
221833,Hydromorphone (Dilaudid),http://www.nlm.nih.gov/research/umls/rxnorm,3423,hydromorphone,,term-join,Q3-paren,Hydromorphone (Dilaudid),,,,,not-needed,
221892,Lepirudin,http://www.nlm.nih.gov/research/umls/rxnorm,237057,lepirudin,,term-join,Q1-exact,Lepirudin,,,,,not-needed,
221906,Norepinephrine,http://www.nlm.nih.gov/research/umls/rxnorm,7512,norepinephrine,,term-join,Q1-exact,Norepinephrine,,,,,not-needed,
221986,Milrinone,http://www.nlm.nih.gov/research/umls/rxnorm,52769,milrinone,,term-join,Q1-exact,Milrinone,,,,,not-needed,
222011,Magnesium Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,6585,magnesium sulfate,,term-join,Q1-exact,Magnesium Sulfate,,,,,not-needed,
222021,Naloxone (Narcan),http://www.nlm.nih.gov/research/umls/rxnorm,7242,naloxone,,term-join,Q3-paren,Naloxone (Narcan),,,,,not-needed,
222037,Nesiritide,http://www.nlm.nih.gov/research/umls/rxnorm,19666,nesiritide,,term-join,Q1-exact,Nesiritide,,,,,not-needed,
222042,Nicardipine,http://www.nlm.nih.gov/research/umls/rxnorm,7396,nicardipine,,term-join,Q1-exact,Nicardipine,,,,,not-needed,
222051,Nitroprusside,http://www.nlm.nih.gov/research/umls/rxnorm,7476,nitroprusside,,term-join,Q1-exact,Nitroprusside,,,,,not-needed,
222056,Nitroglycerin,http://www.nlm.nih.gov/research/umls/rxnorm,4917,nitroglycerin,,term-join,Q1-exact,Nitroglycerin,,,,,not-needed,
222062,Vecuronium,http://www.nlm.nih.gov/research/umls/rxnorm,71535,vecuronium,,term-join,Q1-exact,Vecuronium,,,,,not-needed,
222151,Procainamide,http://www.nlm.nih.gov/research/umls/rxnorm,8700,procainamide,,term-join,Q1-exact,Procainamide,,,,,not-needed,
222168,Propofol,http://www.nlm.nih.gov/research/umls/rxnorm,8782,propofol,,term-join,Q1-exact,Propofol,,,,,not-needed,
222190,Ranitidine,http://www.nlm.nih.gov/research/umls/rxnorm,9143,ranitidine,,term-join,Q1-exact,Ranitidine,,,,,not-needed,
222315,Vasopressin,http://www.nlm.nih.gov/research/umls/rxnorm,11149,vasopressin (USP),,code-search,,Vasopressin,,11149,vasopressin (USP),0.95,ok,FSN matches input exactly; base drug concept
222318,Verapamil,http://www.nlm.nih.gov/research/umls/rxnorm,11170,verapamil,,term-join,Q1-exact,Verapamil,,,,,not-needed,
223257,Insulin - 70/30,http://www.nlm.nih.gov/research/umls/rxnorm,311048,"insulin, human isophane / insulin regular 70/30 Injectable Suspension",,code-search,,Insulin - 70/30,,311048,"insulin, human isophane / insulin regular 70/30 Injectable Suspension",0.85,ok,Classic 70/30 insulin mixture; matches generic referent
223258,Insulin - Regular,http://www.nlm.nih.gov/research/umls/rxnorm,253182,"insulin, regular, human",,code-search,,Insulin - Regular,,253182,"insulin, regular, human",0.80,ok,Generic regular insulin; human is standard species
223259,Insulin - NPH,http://www.nlm.nih.gov/research/umls/rxnorm,311028,"insulin isophane (NPH), human 100 UNT/mL Injectable Suspension",,code-search,,Insulin - NPH,,311028,"insulin isophane (NPH), human 100 UNT/mL Injectable Suspension",0.90,ok,NPH insulin base concept matches input
223260,Insulin - Glargine,http://www.nlm.nih.gov/research/umls/rxnorm,274783,insulin glargine,,code-search,,Insulin - Glargine,,274783,insulin glargine,1.00,ok,
223261,Insulin - Humalog 75/25,http://www.nlm.nih.gov/research/umls/rxnorm,259111,insulin lispro protamine / insulin lispro 75/25 Injectable Suspension,,code-search,,Insulin - Humalog 75/25,,259111,insulin lispro protamine / insulin lispro 75/25 Injectable Suspension,0.95,ok,FSN matches Humalog 75/25 exactly
223262,Insulin - Humalog,http://www.nlm.nih.gov/research/umls/rxnorm,86009,insulin lispro,,code-search,,Insulin - Humalog,,86009,insulin lispro,0.85,ok,Humalog is brand name for insulin lispro
225147,Argatroban,http://www.nlm.nih.gov/research/umls/rxnorm,15202,argatroban,,term-join,Q1-exact,Argatroban,,,,,not-needed,
225148,Bivalirudin (Angiomax),http://www.nlm.nih.gov/research/umls/rxnorm,60819,bivalirudin,,term-join,Q3-paren,Bivalirudin (Angiomax),,,,,not-needed,
225150,Dexmedetomidine (Precedex),http://www.nlm.nih.gov/research/umls/rxnorm,48937,dexmedetomidine,,term-join,Q3-paren,Dexmedetomidine (Precedex),,,,,not-needed,
225151,Eptifibatide (Integrilin),http://www.nlm.nih.gov/research/umls/rxnorm,75635,eptifibatide,,term-join,Q3-paren,Eptifibatide (Integrilin),,,,,not-needed,
225152,Heparin Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,9877,heparin sodium,,term-join,Q1-exact,Heparin Sodium,,,,,not-needed,
225153,Labetalol,http://www.nlm.nih.gov/research/umls/rxnorm,6185,labetalol,,term-join,Q1-exact,Labetalol,,,,,not-needed,
225154,Morphine Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,30236,morphine sulfate,,term-join,Q1-exact,Morphine Sulfate,,,,,not-needed,
225155,Octreotide,http://www.nlm.nih.gov/research/umls/rxnorm,7617,octreotide,,term-join,Q1-exact,Octreotide,,,,,not-needed,
225156,Pentobarbital,http://www.nlm.nih.gov/research/umls/rxnorm,8004,pentobarbital,,term-join,Q1-exact,Pentobarbital,,,,,not-needed,
225157,Tirofiban (Aggrastat),http://www.nlm.nih.gov/research/umls/rxnorm,73137,tirofiban,,term-join,Q3-paren,Tirofiban (Aggrastat),,,,,not-needed,
225158,NaCl 0.9%,http://www.nlm.nih.gov/research/umls/rxnorm,313002,sodium chloride 0.9 % Injectable Solution,,code-search,,NaCl 0.9%,,313002,sodium chloride 0.9 % Injectable Solution,0.85,ok,NaCl 0.9% = normal saline; injectable is the standard referent
225159,NaCl 0.45%,http://snomed.info/sct,1172477000,Sodium chloride 4.5 mg/mL solution for infusion,,code-search,,NaCl 0.45%,,1172477000,Sodium chloride 4.5 mg/mL solution for infusion,0.85,ok,4.5 mg/mL equals 0.45% NaCl; precise match
225161,NaCl 3% (Hypertonic Saline),http://www.nlm.nih.gov/research/umls/rxnorm,724590,sodium chloride 3 % Inhalation Solution,,code-search,,NaCl 3% (Hypertonic Saline),,724590,sodium chloride 3 % Inhalation Solution,0.80,ok,3% hypertonic saline; inhalation is common clinical referent
225166,Potassium Chloride,http://www.nlm.nih.gov/research/umls/rxnorm,8591,potassium chloride,,term-join,Q1-exact,Potassium Chloride,,,,,not-needed,
225167,Hydrochloric Acid - HCL,http://www.nlm.nih.gov/research/umls/rxnorm,5486,hydrochloric acid,,code-search,,Hydrochloric Acid - HCL,,5486,hydrochloric acid,0.97,ok,FSN matches input exactly
225168,Packed Red Blood Cells,http://snomed.info/sct,431069006,Packed red blood cells,,code-search,,Packed Red Blood Cells,,431069006,Packed red blood cells,1.00,ok,
225170,Platelets,http://snomed.info/sct,256398006,Platelets - irradiated,,code-search,,Platelets,,256398006,Platelets - irradiated,0.95,ok,
225171,Cryoprecipitate,http://snomed.info/sct,420599006,Cryoprecipitate,,code-search,,Cryoprecipitate,,420599006,Cryoprecipitate,1.00,ok,
225173,Cell Saver,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Cell Saver,,,,,no-match,
225174,Hetastarch (Hespan) 6%,http://www.nlm.nih.gov/research/umls/rxnorm,1791486,hetastarch 60 MG/ML Injection,,code-search,,Hetastarch (Hespan) 6%,,1791486,hetastarch 60 MG/ML Injection,0.85,ok,6% hetastarch equals 60 mg/mL; concentration matches without pack size
225795,Dextran 40,http://www.nlm.nih.gov/research/umls/rxnorm,3272,dextran 40,,term-join,Q1-exact,Dextran 40,,,,,not-needed,
225797,Free Water,,,,"code-search proposed 11295 'water' at 0.75, below the 0.8 threshold.",code-search,,Free Water,,11295,water,0.75,below-threshold,Free water refers to water substance; qualifier doesn't change referent
225798,Vancomycin,http://www.nlm.nih.gov/research/umls/rxnorm,11124,vancomycin,,term-join,Q1-exact,Vancomycin,,,,,not-needed,
225799,Gastric Meds,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Gastric Meds,,,,,no-match,
