mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,ndc_property_rxcui,ndc_property_display,display_rxcui,display_source
00002060440,CycloSERINE,http://www.nlm.nih.gov/research/umls/rxnorm,3007,cycloserine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'CycloSERINE', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,3007,CycloSERINE
00002140701,QuiNIDine Gluconate,http://www.nlm.nih.gov/research/umls/rxnorm,35220,quinidine gluconate,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'QuiNIDine Gluconate', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,35220,QuiNIDine Gluconate
00002148501,*NF* Capreomycin,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label '*NF* Capreomycin' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00002322830,Strattera,http://www.nlm.nih.gov/research/umls/rxnorm,352319,Strattera 25 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 352319. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,352319,Strattera 25 MG Oral Capsule,358330,Strattera
00002322930,Strattera,http://www.nlm.nih.gov/research/umls/rxnorm,352320,Strattera 40 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 352320. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,352320,Strattera 40 MG Oral Capsule,358330,Strattera
00002323560,Duloxetine,http://www.nlm.nih.gov/research/umls/rxnorm,596928,Cymbalta 20 MG Delayed Release Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 596928. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,596928,Cymbalta 20 MG Delayed Release Oral Capsule,72625,Duloxetine
00002323830,atomoxetine,http://www.nlm.nih.gov/research/umls/rxnorm,352318,Strattera 18 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 352318. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,352318,Strattera 18 MG Oral Capsule,38400,atomoxetine
00002323930,Strattera,http://www.nlm.nih.gov/research/umls/rxnorm,352321,Strattera 60 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 352321. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,352321,Strattera 60 MG Oral Capsule,358330,Strattera
00002324001,Duloxetine,http://www.nlm.nih.gov/research/umls/rxnorm,72625,duloxetine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Duloxetine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,72625,Duloxetine
00002324030,Duloxetine,http://www.nlm.nih.gov/research/umls/rxnorm,596932,Cymbalta 30 MG Delayed Release Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 596932. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,596932,Cymbalta 30 MG Delayed Release Oral Capsule,72625,Duloxetine
00002324033,Duloxetine,http://www.nlm.nih.gov/research/umls/rxnorm,72625,duloxetine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Duloxetine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,72625,Duloxetine
00002411230,Olanzapine,http://www.nlm.nih.gov/research/umls/rxnorm,212405,ZyPREXA 2.5 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 212405. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,212405,ZyPREXA 2.5 MG Oral Tablet,,
