(((1-methyl-2-(5-methyl-3-oxazolidinyl)ethoxy)methoxy)methoxy)methanol	1801150
((2s,3s,5s)-2-(2-(2,6-dimethylphenoxy)acetamido)-5-((s)-3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanamido)-1,6-diphenylhexan-3-yl) 3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanoate, (s)	1599828
((4-hydroxybutyl)azanediyl)bis(hexane-6,1-diyl)bis(2-hexyldecanoate)	2599921
(+) equol	1648566
(+)-panthenol	22701
(-)-ambroxide	2557381
(1,1-dimethylethyl)urea	2262004
(1,2,6,7-3h)-testosterone	1989005
(1-743)-(1638-2332)-blood-coagulation factor viii (synthetic human) fusion protein with immunoglobulin g1 (synthetic human fc domain fragment), (1444-6'),(1447-9')-bis(disulfide) with immunoglobulin g1 (synthetic human fc domain fragment)	1543095
(1-cyanocyclohexyl)acetic acid	2058838
(2-(((2-(2-amino-3-hydroxy-2-(hydroxymethyl)propoxy)-1-hydroxypropyl)hydroxyphosphoryl)oxy)-1-hydroxypropyl)phosphonate	2380376
(2-(((2-(2-amino-3-hydroxy-2-(hydroxymethyl)propoxy)-1-hydroxypropyl)hydroxyphosphoryl)oxy)-1-hydroxypropyl)phosphonic acid	2380375
(2-amino-5,6-dichloroquinazolin-3(4h )-yl)acetic acid	2634407
(2-carbethoxyethyl)diethoxy(methyl)silane	1314258
(2-carbethoxyethyl)triethoxysilane	2475947
(2-chlorophenyl)methyl 4-hydroxybenzoate	2104168
(2-hydroxyethyl)(hydroxymethyl)amine	2375705
(2s)-3-phenylpropane-1,2-diol	2557900
(3 packets (aluminum sulfate 1347 mg powder / calcium acetate 952 mg powder)) per 16 oz topical solution	1250234
(3-aminopropyl)diethanolamine	2371035
(3-bromopropyl)benzene	2391134
(3-chloropropyl)trimethoxysilane	2368125
(3z)-hex-3-en-1-yl methyl carbonate	2557369
(4-(trifluoromethoxy)phenyl)urea	2169961
(6e)-(+)-nerolidol	2371699
(9z)-9-octadecenyl acetate	1995480
(all-z)-4,7,10,13,16-docosapentaenoic acid	1360626
(apap 500 mg / dextromethorphan hbr 20 mg / doxylamine succinate 12.5 mg / phenylephrine hcl 10 mg) per 240 ml oral solution	1542397
(apap 500 mg / dextromethorphan hydrobromide 20 mg / doxylamine succinate 12.5 mg / phenylephrine hydrochloride 10 mg) per 240 ml oral solution	1542397
(c10-c16)alkyldimethylamine oxide	1872987
(c10-c30)alkyl methacrylate ester	1312357
(dibutylamino)methanol	2058839
(efgartigimod alfa / hyaluronidase)-qvfc	2639948
(elagolix 300 mg / estradiol 1 mg / norethindrone 0.5 mg (28) oral capsule) / (elagolix 300 mg (28) oral capsule) pack	2371767
(ethinyl estradiol 0.025 mg / norethindrone 0.8 mg chewable tablet) / 4 (ferrous fumarate 75 mg chewable tablet) 28 day pack	1607990
(ethylenedinitrilo)tetraacetonitrile	2286574
(factor ix / factor vii / factor x / protein c / protein s / prothrombin)-lans	1484957
(n-(3-cholamidopropyl)-n-(3-lactobionamidopropyl))cholamide	2643432
(nivolumab / relatlimab)-rmbw	2596775
(p-hydroxyphenyl)dimethylsulfonium chloride	1921086
(phthalocyaninato(2-)) copper	1424646
(r) - equol	1648566
(s)-acetylcarnitine	1433756
(trastuzumab / hyaluronidase)-oysk	2119713
0.005 ml dexamethasone 103.4 mg/ml injection	2045404
0.05 ml aflibercept 40 mg/ml injection	1232154
0.05 ml brolucizumab-dbll 120 mg/ml injection	2204920
0.05 ml brolucizumab-dbll 120 mg/ml prefilled syringe	2602276
0.05 ml faricimab-svoa 120 mg/ml injection	2591588
0.05 ml ranibizumab 10 mg/ml injection	643193
