mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
80002,ESCHERICHIA COLI,112283007,Escherichia coli,,112283007,Escherichia coli,1.00,ok,
80004,KLEBSIELLA PNEUMONIAE,56415008,Klebsiella pneumoniae,,56415008,Klebsiella pneumoniae,1.00,ok,
80005,KLEBSIELLA OXYTOCA,40886007,Klebsiella oxytoca,,40886007,Klebsiella oxytoca,1.00,ok,
80007,ENTEROBACTER AEROGENES,62592009,Enterobacter aerogenes,,62592009,Enterobacter aerogenes,1.00,ok,
80008,ENTEROBACTER CLOACAE,14385002,Enterobacter cloacae,,14385002,Enterobacter cloacae,1.00,ok,
80009,HAFNIA ALVEI,76694001,Hafnia alvei,,76694001,Hafnia alvei,1.00,ok,
80011,ENTEROBACTER GERGOVIAE,716346000,Pluralibacter gergoviae,,716346000,Pluralibacter gergoviae,0.95,ok,
80012,CRONOBACTER (ENTEROBACTER) SAKAZAKII,445562004,Cronobacter sakazakii,,445562004,Cronobacter sakazakii,0.95,ok,FSN matches input exactly; Enterobacter is former genus name
80013,SERRATIA LIQUEFACIENS,23787004,Serratia liquefaciens,,23787004,Serratia liquefaciens,1.00,ok,
80014,SERRATIA MARCESCENS,33522002,Serratia marcescens,,33522002,Serratia marcescens,1.00,ok,
80015,SERRATIA RUBIDAEA,55825002,Serratia rubidaea,,55825002,Serratia rubidaea,1.00,ok,
80016,PROTEUS VULGARIS,45834001,Proteus vulgaris,,45834001,Proteus vulgaris,1.00,ok,
80017,PROTEUS MIRABILIS,73457008,Proteus mirabilis,,73457008,Proteus mirabilis,1.00,ok,
80018,MORGANELLA MORGANII,243301005,Morganella morganii,,243301005,Morganella morganii,1.00,ok,
80019,PROVIDENCIA STUARTII,1445008,Providencia stuartii,,1445008,Providencia stuartii,1.00,ok,
80020,PROVIDENCIA RETTGERI,14196002,Providencia rettgeri,,14196002,Providencia rettgeri,1.00,ok,
80021,SHIGELLA FLEXNERI,85729005,Shigella flexneri,,85729005,Shigella flexneri,1.00,ok,
80022,SALMONELLA ENTERITIDIS,73525009,Salmonella Enteritidis,,73525009,Salmonella Enteritidis,1.00,ok,
80023,STAPH AUREUS COAG +,3092008,Staphylococcus aureus,,3092008,Staphylococcus aureus,0.95,ok,FSN matches input; coagulase positive is inherent to S. aureus
80024,STAPHYLOCOCCUS EPIDERMIDIS,60875001,Staphylococcus epidermidis,,60875001,Staphylococcus epidermidis,1.00,ok,
80025,CITROBACTER AMALONATICUS,55744003,Citrobacter amalonaticus,,55744003,Citrobacter amalonaticus,1.00,ok,
80026,PSEUDOMONAS AERUGINOSA,52499004,Pseudomonas aeruginosa,,52499004,Pseudomonas aeruginosa,1.00,ok,
80027,PSEUDOMONAS PUTIDA,68608003,Pseudomonas putida,,68608003,Pseudomonas putida,1.00,ok,
80028,BURKHOLDERIA CEPACIA,113669008,Burkholderia cepacia,,113669008,Burkholderia cepacia,1.00,ok,
80029,PSEUDOMONAS SPECIES,57032008,Pseudomonas species,,57032008,Pseudomonas species,1.00,ok,
80030,BORDETELLA BRONCHISEPTICA,10620008,Bordetella bronchiseptica,,10620008,Bordetella bronchiseptica,1.00,ok,
80031,MORAXELLA SPECIES,36361003,Moraxella species,,36361003,Moraxella species,1.00,ok,
80032,AEROMONAS HYDROPHILA,85823000,Aeromonas hydrophila,,85823000,Aeromonas hydrophila,1.00,ok,
80033,VIBRIO SPECIES,34872001,Vibrio species,,34872001,Vibrio species,1.00,ok,
80034,PASTEURELLA MULTOCIDA,10879005,Pasteurella multocida,,10879005,Pasteurella multocida,1.00,ok,
80035,EIKENELLA CORRODENS,52591004,Eikenella corrodens,,52591004,Eikenella corrodens,1.00,ok,
80036,ANAEROBIC GRAM NEGATIVE ROD(S),243386003,Anaerobic Gram-negative bacillus,,243386003,Anaerobic Gram-negative bacillus,0.95,ok,FSN matches input exactly; rod = bacillus
80037,GRAM VARIABLE RODS,243288000,Gram-variable bacillus,,243288000,Gram-variable bacillus,0.95,ok,FSN matches 'gram variable rods' (rods = bacillus)
80038,CLOSTRIDIUM PERFRINGENS,8331005,Clostridium perfringens,,8331005,Clostridium perfringens,1.00,ok,
80039,CLOSTRIDIUM SPECIES,8191000,Clostridium species,,8191000,Clostridium species,1.00,ok,
80040,NEISSERIA GONORRHOEAE,68704007,Neisseria gonorrhoeae,,68704007,Neisseria gonorrhoeae,1.00,ok,
80041,NEISSERIA MENINGITIDIS,17872004,Neisseria meningitidis,,17872004,Neisseria meningitidis,1.00,ok,
80042,NEISSERIA SPECIES,59083001,Neisseria species,,59083001,Neisseria species,1.00,ok,
80043,HAEMOPHILUS PARAINFLUENZAE,51593004,Haemophilus parainfluenzae,,51593004,Haemophilus parainfluenzae,1.00,ok,
80044,HAEMOPHILUS SP,71268004,Haemophilus species,,71268004,Haemophilus species,0.95,ok,FSN Genus Haemophilus matches 'HAEMOPHILUS SP' at genus level
80045,BETA STREPTOCOCCUS GROUP B,43492007,Group B streptococcus,,43492007,Group B streptococcus,0.95,ok,"FSN Streptococcus agalactiae; synonym Beta-hemolytic Streptococcus, group B matches input"
80046,BETA STREPTOCOCCUS GROUP C,89181007,"Streptococcus, group C",,89181007,"Streptococcus, group C",0.95,ok,FSN matches beta-hemolytic group C streptococcus exactly
80047,BETA STREPTOCOCCUS GROUP G,75012005,"Streptococcus, group G",,75012005,"Streptococcus, group G",0.90,ok,FSN matches group G streptococcus; beta-hemolytic implied
80048,BETA STREPTOCOCCUS,53490009,Beta-haemolytic Streptococcus,,53490009,Beta-haemolytic Streptococcus,0.95,ok,FSN matches input exactly; no group specified
80049,STREPTOCOCCUS MITIS,57997003,Streptococcus mitis,,57997003,Streptococcus mitis,1.00,ok,
80050,STREPTOCOCCUS BOVIS,72646003,Streptococcus equinus,,72646003,Streptococcus equinus,0.93,ok,
80052,ALPHA STREPTOCOCCI,60631002,Alpha-haemolytic streptococcus,,60631002,Alpha-hemolytic streptococcus,0.85,ok,FSN matches alpha streptococci meaning
80053,ENTEROCOCCUS SP.,2785000,Enterococcus species,,2785000,Enterococcus species,0.97,ok,FSN Genus Enterococcus matches 'Enterococcus sp.' exactly
80054,BETA STREPTOCOCCUS GROUP A,413643004,"Beta-haemolytic Streptococcus, group A",,413643004,"Beta-haemolytic Streptococcus, group A",0.97,ok,FSN matches input exactly
80055,GRAM POSITIVE COCCUS(COCCI),59206002,Gram-positive coccus,,59206002,Gram-positive coccus (organism),0.97,ok,FSN matches input exactly
80056,GRAM POSITIVE RODS,83514008,Gram-positive bacillus,,83514008,Gram-positive bacillus,0.95,ok,FSN matches; synonym 'Gram-positive rods' exact
