mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
224458,Drain Output_ingr,,,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Ingredient', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target.",,,,,not-a-volume,
226557,R Ureteral Stent,9187-6,Urine output,,R Ureteral Stent,9187-6,Urine output,0.85,ok,
226558,L Ureteral Stent,9187-6,Urine output,,L Ureteral Stent,9187-6,Urine output,0.85,ok,
226559,Foley,9187-6,Urine output,,Foley,9187-6,Urine output,0.90,ok,
226560,Void,9187-6,Urine output,,Void,9187-6,Urine output,0.95,ok,
226561,Condom Cath,9187-6,Urine output,,Condom Cath,9187-6,Urine output,0.85,ok,
226563,Suprapubic,9187-6,Urine output,,Suprapubic,9187-6,Urine output,0.85,ok,
226564,R Nephrostomy,79549-2,Urine output measured by nephrostomy,,R Nephrostomy,79549-2,Urine output measured by nephrostomy,0.95,ok,
226565,L Nephrostomy,79549-2,Urine output measured by nephrostomy,,L Nephrostomy,79549-2,Urine output measured by nephrostomy,0.95,ok,
226566,Urine and GU Irrigant Out,9187-6,Urine output,,Urine and GU Irrigant Out,9187-6,Urine output,0.85,ok,
226567,Straight Cath,9195-9,Urine output by in and out urethral catheter,,Straight Cath,9195-9,Urine output by in and out urethral catheter,0.95,ok,
226569,Anderson (gastric),9149-6,Fluid output gastric tube,,Anderson (gastric),9149-6,Fluid output gastric tube,0.85,ok,
226570,Blakemore,,,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice.",Blakemore,9257-7,Fluid output total Measured,0.85,total,
226571,Emesis,9137-1,Fluid output emesis,,Emesis,9137-1,Fluid output emesis,0.95,ok,
226572,Ewald,,,"code-search returned no match for 'Ewald' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4).",Ewald,,,,no-match,
226573,Gastric Tube,9149-6,Fluid output gastric tube,,Gastric Tube,9149-6,Fluid output gastric tube,0.95,ok,
226574,Jejunostomy,79560-9,Fluid output gastrointestinal ostomy [Volume] Measured,,Jejunostomy,79560-9,Fluid output gastrointestinal ostomy [Volume] Measured,0.82,ok,
226575,Nasogastric,73704-9,Fluid output.nasogastric tube Measured,,Nasogastric,73704-9,Fluid output.nasogastric tube Measured,0.95,ok,
226576,Oral Gastric,,,"code-search proposed 79561-7 |Fluid output enteral tube [Volume] Measured| at 0.78 for 'Oral Gastric', below the 0.8 threshold.",Oral Gastric,79561-7,Fluid output enteral tube [Volume] Measured,0.78,below-threshold,
226579,Stool,9217-1,Output.stool [Volume],,Stool,9217-1,Output.stool [Volume],0.95,ok,
226580,Fecal Bag,9217-1,Output.stool [Volume],,Fecal Bag,9217-1,Output.stool [Volume],0.90,ok,
226582,Ostomy (output),79560-9,Fluid output gastrointestinal ostomy [Volume] Measured,,Ostomy (output),79560-9,Fluid output gastrointestinal ostomy [Volume] Measured,0.95,ok,
226583,Rectal Tube,79559-1,Fluid output gastrointestinal drain [Volume] Measured,,Rectal Tube,79559-1,Fluid output gastrointestinal drain [Volume] Measured,0.80,ok,
226584,Ileoconduit,9187-6,Urine output,,Ileoconduit,9187-6,Urine output,0.85,ok,
226586,Stool Estimate,,,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target.",,,,,not-a-volume,
226588,Chest Tube #1,9129-8,Fluid output chest tube,,Chest Tube,9129-8,Fluid output chest tube,0.95,ok,
226589,Chest Tube #2,9129-8,Fluid output chest tube,,Chest Tube,9129-8,Fluid output chest tube,0.95,ok,
226590,L Pleural #1,9129-8,Fluid output chest tube,,L Pleural,9129-8,Fluid output chest tube,0.90,ok,
