mimic_code,mimic_display,ucum_code,ucum_display,comment,tier,source_valid_ucum,source_canonical,target_canonical,dimension_changed
#/hpf,#/hpf,/[HPF],/[HPF],,curated,no,,1 x1,
#/lpf,#/lpf,/[LPF],/[LPF],,curated,no,,1 x0.01,
#/uL,#/uL,/uL,/uL,,curated,no,,m-3 x1000000000,
%,%,%,%,,curated,yes,1 x0.01,1 x0.01,no
% of current infusion rate,% of current infusion rate,,,A relative instruction rather than a unit: the value is a proportion of another rate that this string does not identify.,declined,no,,,
%(50 mg/5 gram),%(50 mg/5 gram),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(0.06 %),(0.06 %),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(0.6 mg/mL),(0.6 mg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
"(1,000 mg)","(1,000 mg)",,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(10 mg/mL),(10 mg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
