element,system,code,display,occurrences
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,401.9,Unspecified essential hypertension,124177
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I10,Essential (primary) hypertension,72970
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,272.4,Other and unspecified hyperlipidemia,65033
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",53055
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E78.5,"Hyperlipidemia, unspecified",49967
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,530.81,Esophageal reflux,46533
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z87.891,Personal history of nicotine dependence,38906
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,427.31,Atrial fibrillation,38741
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,311,"Depressive disorder, not elsewhere classified",38401
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,428.0,"Congestive heart failure, unspecified",37338
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K21.9,Gastro-esophageal reflux disease without esophagitis,34381
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,414.01,Coronary atherosclerosis of native coronary artery,34324
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F32.9,"Major depressive disorder, single episode, unspecified",33321
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V15.82,Personal history of tobacco use,30226
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,584.9,"Acute kidney failure, unspecified",29938
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,244.9,Unspecified acquired hypothyroidism,28830
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,26966
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,599.0,"Urinary tract infection, site not specified",26310
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,285.9,"Anemia, unspecified",25548
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,272.0,Pure hypercholesterolemia,25533
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E11.9,Type 2 diabetes mellitus without complications,25422
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F41.9,"Anxiety disorder, unspecified",24653
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,305.1,Tobacco use disorder,24546
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V58.61,Long-term (current) use of anticoagulants,24311
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N17.9,"Acute kidney failure, unspecified",23271
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,300.00,"Anxiety state, unspecified",23040
