element,bucket,codes,occurrences,share_pct
Condition.code,mapped,27569,5655376,100.0
Condition.code,declined,0,0,0.0
Condition.code,blocked-upstream,0,0,0.0
Condition.code,unresolved-in-stream,0,0,0.0
Condition.code,no-map-for-element,0,0,0.0
Condition.code,no-stream-yet,0,0,0.0
Condition.code,not-in-enumeration,0,0,0.0
Medication.code,mapped,6929,14328,72.77
Medication.code,declined,719,1961,9.96
Medication.code,blocked-upstream,0,0,0.0
Medication.code,unresolved-in-stream,3268,3400,17.27
Medication.code,no-map-for-element,0,0,0.0
Medication.code,no-stream-yet,0,0,0.0
Medication.code,not-in-enumeration,0,0,0.0
MedicationAdministration.medication[x],mapped,5633,33449927,91.06
MedicationAdministration.medication[x],declined,500,3096896,8.43
MedicationAdministration.medication[x],blocked-upstream,2,186248,0.51
MedicationAdministration.medication[x],unresolved-in-stream,0,0,0.0
MedicationAdministration.medication[x],no-map-for-element,0,0,0.0
MedicationAdministration.medication[x],no-stream-yet,0,0,0.0
MedicationAdministration.medication[x],not-in-enumeration,0,0,0.0
MedicationDispense.medication[x],mapped,3876,13628261,95.7
MedicationDispense.medication[x],declined,232,363944,2.56
MedicationDispense.medication[x],blocked-upstream,0,0,0.0
MedicationDispense.medication[x],unresolved-in-stream,5968,248162,1.74
MedicationDispense.medication[x],no-map-for-element,0,0,0.0
MedicationDispense.medication[x],no-stream-yet,0,0,0.0
MedicationDispense.medication[x],not-in-enumeration,0,0,0.0
MedicationRequest.medication[x],mapped,2732,1661240,88.19
MedicationRequest.medication[x],declined,156,55297,2.94
MedicationRequest.medication[x],blocked-upstream,2,167144,8.87
MedicationRequest.medication[x],unresolved-in-stream,0,0,0.0
MedicationRequest.medication[x],no-map-for-element,0,0,0.0
MedicationRequest.medication[x],no-stream-yet,0,0,0.0
MedicationRequest.medication[x],not-in-enumeration,0,0,0.0
MedicationStatement.medication[x],mapped,8242,4455909,54.72
MedicationStatement.medication[x],declined,2137,1106362,13.59
MedicationStatement.medication[x],blocked-upstream,0,0,0.0
MedicationStatement.medication[x],unresolved-in-stream,0,0,0.0
MedicationStatement.medication[x],no-map-for-element,0,0,0.0
MedicationStatement.medication[x],no-stream-yet,0,0,0.0
MedicationStatement.medication[x],not-in-enumeration,9312,2581349,31.7
Observation.code,mapped,2725,316251067,68.59
Observation.code,declined,1516,144847841,31.41
Observation.code,blocked-upstream,0,0,0.0
Observation.code,unresolved-in-stream,0,0,0.0
Observation.code,no-map-for-element,0,0,0.0
Observation.code,no-stream-yet,0,0,0.0
Observation.code,not-in-enumeration,0,0,0.0
Observation.component.code,mapped,2,3979394,100.0
Observation.component.code,declined,0,0,0.0
Observation.component.code,blocked-upstream,0,0,0.0
Observation.component.code,unresolved-in-stream,0,0,0.0
Observation.component.code,no-map-for-element,0,0,0.0
Observation.component.code,no-stream-yet,0,0,0.0
Observation.component.code,not-in-enumeration,0,0,0.0
Procedure.code,mapped,12678,3108757,92.66
Procedure.code,declined,54,246075,7.33
Procedure.code,blocked-upstream,0,0,0.0
Procedure.code,unresolved-in-stream,2,143,0.0
Procedure.code,no-map-for-element,0,0,0.0
Procedure.code,no-stream-yet,0,0,0.0
Procedure.code,not-in-enumeration,0,0,0.0
Specimen.type,mapped,89,14794118,98.87
Specimen.type,declined,24,169785,1.13
Specimen.type,blocked-upstream,0,0,0.0
Specimen.type,unresolved-in-stream,0,0,0.0
Specimen.type,no-map-for-element,0,0,0.0
Specimen.type,no-stream-yet,0,0,0.0
Specimen.type,not-in-enumeration,0,0,0.0
