stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228108,Emergency Postoperative Diagnoses,,http://loinc.org,no-suitable-concept,"LOINC: proposed 8719-7 |Surgical operation note postoperative diagnosis| at 0.75, below the 0.8 threshold. SNOMED CT: no match for 'Emergency Postoperative Diagnoses' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229636,Test Performed (AM-PAC),,http://loinc.org,no-suitable-concept,"LOINC: proposed 79529-4 |Basic mobility score [AM-PAC]| at 0.85, which passed the constraint but LOINC SCALE_TYP=Qn but MIMIC records a qualitative domain (0% of the value mass is numeric), so this target asserts a measurement that was never made. SNOMED CT: no match for 'Test Performed (AM-PAC) (recorded values: Basic Mobility, Daily Activity, Applied Cognitive)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229330,Activity Intolerance  NCP - Interventions,,http://loinc.org,no-suitable-concept,"Not sent to code-search: every item is a `<X> NCP - {Goal | Expected outcomes | Outcomes met | Interventions}` nursing-care-plan documentation slot, not an observation of the patient. An answer here would be the service coding a string MIMIC does not stand behind."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228471,Barrier Precautions (Gen Proc),,http://loinc.org,no-suitable-concept,"Not sent to code-search: every item is a procedural-workflow attestation — `Timeout Performed By`, `Patient Identified Correctly`, `Hand Cleansing prior to procedure` — recording that a step of the safety checklist happened, not an observation of the patient. An answer here would be the service coding a string MIMIC does not stand behind."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225206,Multi Lumen Zero/Calibrate,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Multi Lumen Zero/Calibrate' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Multi Lumen Zero/Calibrate' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225210,Arterial Line Zero/Calibrate,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Arterial Line Zero/Calibrate' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Arterial Line Zero/Calibrate' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229865,No Pressure Injury Present,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'No Pressure Injury Present' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'No Pressure Injury Present' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228066,Unable to complete Airway Assessment (Intubation),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Unable to complete Airway Assessment (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Unable to complete Airway Assessment (Intubation)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224101,Chest PT R/L,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Chest PT R/L (recorded values: Bilateral, Left, Right)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Chest PT R/L (recorded values: Bilateral, Left, Right)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229095,Coping/Knowledge Deficit  NCP - Problem resolved,,http://loinc.org,no-suitable-concept,"Not sent to code-search: every item is a `<X> NCP - {Goal | Expected outcomes | Outcomes met | Interventions}` nursing-care-plan documentation slot, not an observation of the patient. An answer here would be the service coding a string MIMIC does not stand behind."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224418,Cuff Volume (mL),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Cuff Volume (mL)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Cuff Volume (mL)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225704,Site cleaned with ChloraPrep(TM) (CVL),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Site cleaned with ChloraPrep(TM) (CVL)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Site cleaned with ChloraPrep(TM) (CVL)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228043,Site cleaned with ChloraPrep(TM) (PICC),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Site cleaned with ChloraPrep(TM) (PICC)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Site cleaned with ChloraPrep(TM) (PICC)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229975,COVID NCP - Expected outcomes,,http://loinc.org,no-suitable-concept,"Not sent to code-search: every item is a `<X> NCP - {Goal | Expected outcomes | Outcomes met | Interventions}` nursing-care-plan documentation slot, not an observation of the patient. An answer here would be the service coding a string MIMIC does not stand behind."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229497,Final Position confirmed (SBNET),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Final Position confirmed (SBNET)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Final Position confirmed (SBNET)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227943,Anticipated Discharge,,http://loinc.org,no-suitable-concept,"LOINC: proposed 94664-0 |Anticipated discharge date| at 0.85, which passed the constraint but LOINC SCALE_TYP=Qn but MIMIC records a qualitative domain (0% of the value mass is numeric), so this target asserts a measurement that was never made. SNOMED CT: no match for 'Anticipated Discharge' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227440,Digoxin,,http://loinc.org,no-suitable-concept,"LOINC: proposed 4222-6 |Digoxin [Mass] of Dose| at 0.62, below the 0.8 threshold. SNOMED CT: no match for 'Digoxin' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224087,Therapeutic Bed,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Therapeutic Bed (recorded values: AtmosAir Mattress, Pressure Redistribution Mattress, First Step Select, SW Alternate, KinAir, Mighty Air, Mighty Air with Bari Rehab Platform, Bari Rehab Platform, Bari Rehab Platform 2, Triadyne, BariAir, SW Evolution (Low Bed))' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Therapeutic Bed (recorded values: AtmosAir Mattress, Pressure Redistribution Mattress, First Step Select, SW Alternate, KinAir, Mighty Air, Mighty Air with Bari Rehab Platform, Bari Rehab Platform, Bari Rehab Platform 2, Triadyne, BariAir, SW Evolution (Low Bed))' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229382,Orientation Score (new)_OLD_1,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Orientation Score (new)_OLD_1' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Orientation Score (new)_OLD_1' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228243,PH (SOFT),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'PH (SOFT)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 27327002 |Hydrogen ion concentration| at 0.70, below the 0.8 threshold."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229364,P2 (ECMO),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'P2 (ECMO)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'P2 (ECMO)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224062,Less Restrictive Measures (Acute Med/Surgical),,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Less Restrictive Measures (Acute Med/Surgical) (recorded values: Medicated, Orientation, Increased Visibility, Bed placed in low position and locked, Bed Alarm, Call light placed within reach, Family at Bedside, Medication reviewed, Assessed tubes and catheters, Evaluated and treated pain, Items placed closed to patient, Distraction)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Less Restrictive Measures (Acute Med/Surgical) (recorded values: Medicated, Orientation, Increased Visibility, Bed placed in low position and locked, Bed Alarm, Call light placed within reach, Family at Bedside, Medication reviewed, Assessed tubes and catheters, Evaluated and treated pain, Items placed closed to patient, Distraction)' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228212,Tandem Heart Access Line Pump Housing Checked,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Tandem Heart Access Line Pump Housing Checked' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Tandem Heart Access Line Pump Housing Checked' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224659,Vacuum Assist,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Vacuum Assist' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Vacuum Assist' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225133,Discharge needs,,http://loinc.org,no-suitable-concept,"LOINC: proposed 58222-1 |Discharge plan| at 0.50, below the 0.8 threshold. SNOMED CT: proposed 406210007 |Readiness for discharge| at 0.60, below the 0.8 threshold."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228718,Billing Diagnosis,,http://loinc.org,no-suitable-concept,"LOINC: proposed 76459-7 |Physical therapy billing diagnosis code| at 0.55, below the 0.8 threshold. SNOMED CT: no match for 'Billing Diagnosis' within <<363787002."
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225129,Unable to assess teaching / learning needs,,http://loinc.org,no-suitable-concept,"LOINC: no match for 'Unable to assess teaching / learning needs' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Unable to assess teaching / learning needs' within <<363787002."
