stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52115,Fibrinoge,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52419,Voided Specimen,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'Hospital laboratory analyte measured in Urine: Voided Specimen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE)."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52452,"Potassium, Whole Blood",,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52000,Urine  Creatinine,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51650,Hepatitis B Virus E Antigen,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52422,RUN,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52851,Factor XI,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52087,CD15/56,,http://loinc.org,no-suitable-concept,"code-search proposed 21012-0 |CD15 cells [#/volume] in Blood| at 0.70 for 'Hospital laboratory analyte measured in Blood: CD15/56', below the 0.8 threshold."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51787,"Creatinine, CSF",,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52334,Voided Specimen,,http://loinc.org,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
