stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,225991,Resource Fruit Beverage,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,230034,Amiodarone 150/100,,http://www.nlm.nih.gov/research/umls/rxnorm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not asked rather than declined: the mapping tables are generated over the codes the warehouse actually uses, and this one has never been used. If you are translating it, that assumption does not hold for your data — extend the table's generation population."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,225996,Mighty Shake (no sugar added),,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,220951,Dextrose 20.%,,http://www.nlm.nih.gov/research/umls/rxnorm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not asked rather than declined: the mapping tables are generated over the codes the warehouse actually uses, and this one has never been used. If you are translating it, that assumption does not hold for your data — extend the table's generation population."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,220968,Dextrose 10% / Ringers Lactate,,http://www.nlm.nih.gov/research/umls/rxnorm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not asked rather than declined: the mapping tables are generated over the codes the warehouse actually uses, and this one has never been used. If you are translating it, that assumption does not hold for your data — extend the table's generation population."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,226371,OR Cryoprecipitate Intake,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,226045,Replete (2/3),,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,221210,Suplena,,http://www.nlm.nih.gov/research/umls/rxnorm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not asked rather than declined: the mapping tables are generated over the codes the warehouse actually uses, and this one has never been used. If you are translating it, that assumption does not hold for your data — extend the table's generation population."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,228359,Glucerna (Full),,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name."
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,225796,Dextran 70,,http://www.nlm.nih.gov/research/umls/rxnorm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not asked rather than declined: the mapping tables are generated over the codes the warehouse actually uses, and this one has never been used. If you are translating it, that assumption does not hold for your data — extend the table's generation population."
