stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,11509021265,Menthol-Cetylpyridinium (Cepacol),,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Menthol-Cetylpyridinium (Cepacol)' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,58160087546,Influenza Virus Vaccine,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Influenza Virus Vaccine' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409434610,Aminocaproic Acid 25% Oral Rinse,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Aminocaproic Acid 25% Oral Rinse' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,50458030101,Risperidone,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Risperidone' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00338630403,0.9% Sodium Chloride,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label '0.9% Sodium Chloride' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00173039442,Cefuroxime Axetil,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Cefuroxime Axetil' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00186070210,*NF* Budesonide,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label '*NF* Budesonide' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,24208027507,Metipranolol,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Metipranolol' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00591219045,Neomycin/Polymyxin B Sulfate,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Neomycin/Polymyxin B Sulfate' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409792336,5% Dextrose,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label '5% Dextrose' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,19515090941,Influenza Virus Vaccine,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Influenza Virus Vaccine' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,49281064015,Influenza A (H1N1) Vaccine,,http://www.nlm.nih.gov/research/umls/rxnorm,no-suitable-concept,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Influenza A (H1N1) Vaccine' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept."
