stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90352,CLOSTRIDIUM CLOSTRIDIIFORME,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 53220001 |Clostridium clostridioforme| at 0.65, below the 0.8 threshold."
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90856,NEGATIVE,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 81325006 |Gram-negative bacterium| at 0.70, below the 0.8 threshold."
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,80235,STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 415597009 |Streptococcus anginosus group| at 0.62, below the 0.8 threshold."
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90819,POSITIVE FOR CRYPTOCOCCAL ANTIGEN,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90584,ANAEROBIC GRAM POSITIVE BACTERIA,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90724,POSITIVE FOR ADENOVIRUS,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90858,NEOASCOCHYTA DESMAZIERI,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90609,WORM,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,80274,NO GROWTH,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within <<410607006.
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,90621,TICK NOT CONSISTENT WITH IXODES SPECIES,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 106831000 |Ixodides| at 0.70, below the 0.8 threshold."
