field,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226616,Anderson,,http://loinc.org,no-suitable-concept,"code-search proposed 9257-7 |Fluid output total Measured| at 0.86, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226633,Pre-Admission,,http://loinc.org,no-suitable-concept,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224458,Drain Output_ingr,,http://loinc.org,no-suitable-concept,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Ingredient', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226713,Incontinent/voids (estimate),,http://loinc.org,no-suitable-concept,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226592,Mediastinal,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'Mediastinal' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227489,GU Irrigant/Urine Volume Out,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'GU Irrigant/Urine Volume Out' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226570,Blakemore,,http://loinc.org,no-suitable-concept,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226619,Pigtail #1,,http://loinc.org,no-suitable-concept,"code-search proposed 9161-1 |Fluid output miscellaneous Measured| at 0.78 for 'Pigtail', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226620,Pigtail #2,,http://loinc.org,no-suitable-concept,"code-search proposed 9161-1 |Fluid output miscellaneous Measured| at 0.78 for 'Pigtail', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226572,Ewald,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'Ewald' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226576,Oral Gastric,,http://loinc.org,no-suitable-concept,"code-search proposed 79561-7 |Fluid output enteral tube [Volume] Measured| at 0.78 for 'Oral Gastric', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227487,GU Irrigant Type,,http://loinc.org,no-suitable-concept,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226632,Cath Lab,,http://loinc.org,no-suitable-concept,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227488,GU Irrigant Volume In,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'GU Irrigant Volume In' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228103,Stool containment device placed,,http://loinc.org,no-suitable-concept,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Date and time', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226586,Stool Estimate,,http://loinc.org,no-suitable-concept,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90164,"INTERPHASE FISH ANALYSIS, 100-300 CELLS",,http://loinc.org,no-suitable-concept,"No answer above the 0.8 threshold for 'INTERPHASE FISH ANALYSIS, 100-300 CELLS': micro returned no match; cyto proposed 59050-5 |Chromosome analysis.interphase [Interpretation] in Specimen by FISH Narrative| at 0.75."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90153,Additional Cells and Karyotype,,http://loinc.org,no-suitable-concept,No answer above the 0.8 threshold for 'Additional Cells and Karyotype': micro returned no match; cyto proposed 35129-6 |Karyotype [Identifier] in Specimen Nominal| at 0.75.
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90193,voided,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'voided' within either search space: (http://loinc.org)(CLASS=MICRO,STATUS=ACTIVE) or (http://loinc.org)(CLASS/""MOLPATH.*|PANEL.HL7.CYTOGEN"",STATUS=ACTIVE)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90146,CHROMOSOME ANALYSIS-NEOPLASTIC BLOOD,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'CHROMOSOME ANALYSIS-NEOPLASTIC BLOOD' within either search space: (http://loinc.org)(CLASS=MICRO,STATUS=ACTIVE) or (http://loinc.org)(CLASS/""MOLPATH.*|PANEL.HL7.CYTOGEN"",STATUS=ACTIVE)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90205,Fluid Culture in Bottles,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'Fluid Culture in Bottles' within either search space: (http://loinc.org)(CLASS=MICRO,STATUS=ACTIVE) or (http://loinc.org)(CLASS/""MOLPATH.*|PANEL.HL7.CYTOGEN"",STATUS=ACTIVE)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90079,TISSUE CULTURE-CVS,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'TISSUE CULTURE-CVS' within either search space: (http://loinc.org)(CLASS=MICRO,STATUS=ACTIVE) or (http://loinc.org)(CLASS/""MOLPATH.*|PANEL.HL7.CYTOGEN"",STATUS=ACTIVE)."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,90132,LYME SEROLOGY,,http://loinc.org,no-suitable-concept,"code-search returned no match for 'LYME SEROLOGY' within either search space: (http://loinc.org)(CLASS=MICRO,STATUS=ACTIVE) or (http://loinc.org)(CLASS/""MOLPATH.*|PANEL.HL7.CYTOGEN"",STATUS=ACTIVE)."
