field,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd9,0096,Infusion of 4-Factor Prothrombin Complex Concentrate,00.96,http://hl7.org/fhir/sid/icd-9-cm,absent-from-all-built-releases,
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd9,0095,Injection or infusion of glucarpidase,00.95,http://hl7.org/fhir/sid/icd-9-cm,absent-from-all-built-releases,
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228169,Impella Line,,http://snomed.info/sct,no-suitable-concept,code-search proposed 933316631000036107 |Percutaneous insertion of catheter based ventricular assist device| at 0.85 but that concept is not in the SNOMED international core.
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225789,Sheath (Venous),,http://snomed.info/sct,no-suitable-concept,"code-search proposed 392230005 |Catheterisation of vein| at 0.50, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229530,ECMO Outflow Line,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 233573008 |Extracorporeal membrane oxygenation| at 0.50, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224267,Cordis/Introducer,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.78, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228228,"Family meeting attempted, unable",,http://snomed.info/sct,no-suitable-concept,"code-search proposed 312048002 |Family case conference| at 0.70, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225817,BAL Fluid Culture,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 117027007 |Microbial culture, body fluid| at 0.78, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226236,Temporary Pacemaker Wires Discontinued,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 233188006 |Removal of cardiac pacing electrode| at 0.75, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225428,Blakemore / Minnesota Tube D/C,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 1230036005 |Removal of tube| at 0.78, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224276,16 Gauge,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225460,Cervical Spine,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 428490009 |Surgical procedure on cervical spine| at 0.50, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225203,Pheresis Catheter,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229983,Isoflurane (Inhaled),,http://snomed.info/sct,no-suitable-concept,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228130,NEOB notified,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229578,Cath Lab (Sent),,http://snomed.info/sct,no-suitable-concept,"code-search proposed 183519002 |Referral to cardiology service| at 0.50, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225444,Pan Culture,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 104178000 |Bacterial culture| at 0.50, below the 0.8 threshold."
Procedure.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224268,Trauma line,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.50, below the 0.8 threshold."
