element,system,code,rank,value,occurrences
Observation.code,http://loinc.org,56839-4,1,3.0000,225066
Observation.code,http://loinc.org,56839-4,2,2.0000,139411
Observation.code,http://loinc.org,56839-4,3,4.0000,28504
Observation.code,http://loinc.org,56839-4,4,1.0000,24019
Observation.code,http://loinc.org,56839-4,5,5.0000,1100
Observation.code,http://loinc.org,8661-1,1,Chest pain,11301
Observation.code,http://loinc.org,8661-1,2,Abd pain,10771
Observation.code,http://loinc.org,8661-1,3,Dyspnea,6003
Observation.code,http://loinc.org,8661-1,4,ABD PAIN,5078
Observation.code,http://loinc.org,8661-1,5,s/p Fall,4965
Observation.code,http://loinc.org,8661-1,6,SI,4936
Observation.code,http://loinc.org,8661-1,7,ETOH,4687
Observation.code,http://loinc.org,8661-1,8,Wound eval,4509
Observation.code,http://loinc.org,8661-1,9,Headache,3828
Observation.code,http://loinc.org,8661-1,10,Back pain,3166
Observation.code,http://loinc.org,8661-1,11,MVC,3139
Observation.code,http://loinc.org,8661-1,12,Altered mental status,2688
Observation.code,http://loinc.org,8661-1,13,S/P FALL,2632
Observation.code,http://loinc.org,8661-1,14,Lower back pain,2630
Observation.code,http://loinc.org,8661-1,15,CHEST PAIN,2609
Observation.code,http://loinc.org,8661-1,16,N/V,2505
Observation.code,http://loinc.org,8661-1,17,Syncope,2301
Observation.code,http://loinc.org,8661-1,18,BRBPR,2295
Observation.code,http://loinc.org,8661-1,19,Dizziness,2238
Observation.code,http://loinc.org,8661-1,20,Weakness,2233
Observation.code,http://loinc.org,8661-1,21,Fever,2226
Observation.code,http://loinc.org,8661-1,22,ILI,2138
Observation.code,http://loinc.org,8661-1,23,"Abd pain, N/V",2094
Observation.code,http://loinc.org,8661-1,24,ABDOMINAL PAIN,1995
Observation.code,http://loinc.org,8661-1,25,"Chest pain, Dyspnea",1983
Observation.code,http://loinc.org,8661-1,26,Abnormal labs,1908
Observation.code,http://loinc.org,8661-1,27,Seizure,1874
Observation.code,http://loinc.org,8661-1,28,RLQ abdominal pain,1772
Observation.code,http://loinc.org,8661-1,29,BACK PAIN,1709
Observation.code,http://loinc.org,8661-1,30,Rash,1697
Observation.code,http://loinc.org,8661-1,31,Sore throat,1624
Observation.code,http://loinc.org,8661-1,32,Palpitations,1609
Observation.code,http://loinc.org,8661-1,33,"Abd pain, Transfer",1557
Observation.code,http://loinc.org,8661-1,34,Allergic reaction,1495
Observation.code,http://loinc.org,8661-1,35,DYSPNEA,1419
Observation.code,http://loinc.org,8661-1,36,"ETOH, Unable to ambulate",1412
Observation.code,http://loinc.org,8661-1,37,Cough,1362
Observation.code,http://loinc.org,8661-1,38,CP,1356
Observation.code,http://loinc.org,8661-1,39,SOB,1344
Observation.code,http://loinc.org,8661-1,40,FEVER,1343
Observation.code,http://loinc.org,8884-9,1,Sinus Rhythm,18894
Observation.code,http://loinc.org,8884-9,2,Normal Sinus Rhythm,12316
Observation.code,http://loinc.org,8884-9,3,Atrial Fibrillation,5238
Observation.code,http://loinc.org,8884-9,4,Sinus Tachycardia,5133
Observation.code,http://loinc.org,8884-9,5,Sinus Bradycardia,3246
Observation.code,http://loinc.org,8884-9,6,sr,3024
Observation.code,http://loinc.org,8884-9,7,Paced Rhythm,1777
Observation.code,http://loinc.org,8884-9,8,nsr,1177
Observation.code,http://loinc.org,8884-9,9,SR,1041
Observation.code,http://loinc.org,8884-9,10,afib,876
Observation.code,http://loinc.org,8884-9,11,NSR,821
Observation.code,http://loinc.org,8884-9,12,st,804
Observation.code,http://loinc.org,8884-9,13,sinus,454
Observation.code,http://loinc.org,8884-9,14,sb,367
Observation.code,http://loinc.org,8884-9,15,Atrial Flutter,317
Observation.code,http://loinc.org,8884-9,16,Sinus Arrythmia,241
Observation.code,http://loinc.org,8884-9,17,af,230
Observation.code,http://loinc.org,8884-9,18,ST,194
Observation.code,http://loinc.org,8884-9,19,paced,183
Observation.code,http://loinc.org,8884-9,20,SB,141
Observation.code,http://loinc.org,8884-9,21,1° AV Block,114
Observation.code,http://loinc.org,8884-9,22,AF,95
Observation.code,http://loinc.org,8884-9,23,SVT,88
Observation.code,http://loinc.org,8884-9,24,LBBB,79
Observation.code,http://loinc.org,8884-9,25,`,57
Observation.code,http://loinc.org,8884-9,26,sinus brady,50
Observation.code,http://loinc.org,8884-9,27,Afib,48
Observation.code,http://loinc.org,8884-9,28,sinus tach,45
Observation.code,http://loinc.org,8884-9,29,Bigeminy,44
Observation.code,http://loinc.org,8884-9,30,aflutter,43
Observation.code,http://loinc.org,8884-9,31,Junctional Rhythm,38
Observation.code,http://loinc.org,8884-9,32,"SR, no ect",37
Observation.code,http://loinc.org,8884-9,33,Ventricular Tachycardia,37
Observation.code,http://loinc.org,8884-9,34,av paced,34
Observation.code,http://loinc.org,8884-9,35,v paced,34
Observation.code,http://loinc.org,8884-9,36,n,33
Observation.code,http://loinc.org,8884-9,37,s,31
Observation.code,http://loinc.org,8884-9,38,1Â° AV Block,28
Observation.code,http://loinc.org,8884-9,39,ns,28
Observation.code,http://loinc.org,8884-9,40,vpaced,28
Observation.code,http://loinc.org,98137-3,1,0,701024
Observation.code,http://loinc.org,98137-3,2,8,99556
Observation.code,http://loinc.org,98137-3,3,5,91349
Observation.code,http://loinc.org,98137-3,4,10,83879
Observation.code,http://loinc.org,98137-3,5,7,77986
Observation.code,http://loinc.org,98137-3,6,6,71505
Observation.code,http://loinc.org,98137-3,7,4,70909
Observation.code,http://loinc.org,98137-3,8,2,62151
Observation.code,http://loinc.org,98137-3,9,3,61071
Observation.code,http://loinc.org,98137-3,10,9,44294
Observation.code,http://loinc.org,98137-3,11,1,22512
Observation.code,http://loinc.org,98137-3,12,unable,19078
Observation.code,http://loinc.org,98137-3,13,sleeping,18524
Observation.code,http://loinc.org,98137-3,14,asleep,14451
Observation.code,http://loinc.org,98137-3,15,13,10923
Observation.code,http://loinc.org,98137-3,16,uta,10112
Observation.code,http://loinc.org,98137-3,17,0/10,10032
Observation.code,http://loinc.org,98137-3,18,UTA,9735
Observation.code,http://loinc.org,98137-3,19,ua,5352
Observation.code,http://loinc.org,98137-3,20,Critical,3390
Observation.code,http://loinc.org,98137-3,21,sleep,2900
Observation.code,http://loinc.org,98137-3,22,UA,2020
Observation.code,http://loinc.org,98137-3,23,u/a,1581
Observation.code,http://loinc.org,98137-3,24,2/10,1305
Observation.code,http://loinc.org,98137-3,25,5/10,1287
Observation.code,http://loinc.org,98137-3,26,8/10,1107
Observation.code,http://loinc.org,98137-3,27,4/10,1078
Observation.code,http://loinc.org,98137-3,28,7/10,984
Observation.code,http://loinc.org,98137-3,29,Unable,926
Observation.code,http://loinc.org,98137-3,30,6/10,895
Observation.code,http://loinc.org,98137-3,31,3/10,879
Observation.code,http://loinc.org,98137-3,32,denies,877
Observation.code,http://loinc.org,98137-3,33,Asleep,858
Observation.code,http://loinc.org,98137-3,34,c,748
Observation.code,http://loinc.org,98137-3,35,10/10,715
Observation.code,http://loinc.org,98137-3,36,sedated,698
Observation.code,http://loinc.org,98137-3,37,intubated,627
Observation.code,http://loinc.org,98137-3,38,ett,568
Observation.code,http://loinc.org,98137-3,39,NAD,535
Observation.code,http://loinc.org,98137-3,40,3-4,528
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,1,.Care Plan - Impaired Tissue Perfusion,27141
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,2,.Care Plan - Post-operative,20740
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,3,.Care Plan - Altered Mental Status,18115
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,4,.Care Plan - Pain,16397
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,5,.Care Plan - Infection,15487
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,6,.Care Plan - Altered Respiratory Function: Impaired Gas Exchange,14501
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,7,.Care Plan - Alteration in Fluid Balance: Actual,13126
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,8,.Care Plan - Patient Safety Requiring the Use of Restraints or Seclusion,11617
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,9,"Respiratory failure, acute (not ARDS/ALI)",10926
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,10,.Care Plan - Altered Respiratory Function: Ineffective Breathing Patterns,8954
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,11,.Care Plan - Coping,8683
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,12,"Pain control (acute pain, chronic pain)",8038
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,13,.Care Plan - Impaired Skin Integrity,8024
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,14,Hypotension (not Shock),7845
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,15,.Care Plan - Altered Respiratory Function: Ineffective Airway Clearance,6509
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,16,Altered mental status (not Delirium),6220
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,17,Other Problem - Enter Description In Comments,6040
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,18,"Renal failure, acute (Acute renal failure, ARF)",6029
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,19,.Care Plan - Infection: Risk for,5959
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,20,.Care Plan - Alteration in Sensory / Perception,5797
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,21,Impaired Skin Integrity,5266
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,22,Atrial fibrillation (Afib),5188
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,23,.Care Plan - Risk to Fall / Injury Prevention,3992
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,24,.Care Plan - Knowledge Deficit / Learning Facilitation,3619
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,25,.Care Plan - Impaired Physical Mobility,3543
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,26,.Care Plan - Discharge Planning,3443
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,27,"Hypertension, benign",3269
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,28,"Transfers, Impaired",3092
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,29,"Balance, Impaired",3008
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,30,Sepsis without organ dysfunction,2911
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,31,"Knowledge, Impaired",2871
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,32,"Fever (Hyperthermia, Pyrexia, not Fever of Unknown Origin)",2838
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,33,.Care Plan - Pain: Assessment of,2777
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,34,"Diabetes Mellitus (DM), Type II",2652
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,35,.Care Plan - Alteration in Fluid Balance: Potential,2518
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,36,.Care Plan - Nutrition: Less than Body Requirements,2484
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,37,Hypoxemia,2439
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,38,Coronary artery bypass graft (CABG),2362
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,39,Hyperglycemia,2337
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,40,.Care Plan - Stroke,2287
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,1,SR (Sinus Rhythm),3450548
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,2,ST (Sinus Tachycardia),926068
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,3,AF (Atrial Fibrillation),731908
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,4,SB (Sinus Bradycardia),233683
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,5,V Paced,152463
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,6,1st AV (First degree AV Block),129178
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,7,A Paced,72992
