element,system,code,display,occurrences,n_quantity,n_string,n_codeable,n_boolean,n_integer,n_datetime,n_other,n_no_value,n_data_absent,shape,scale_hint,distinct_values,domain_truncated,units
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227969,Safety Measures,8770670,0,8770670,0,0,0,0,0,0,0,enumerated,NomOrd,19,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220045,Heart Rate,6460839,6460839,0,0,0,0,0,0,0,0,quantitative,Qn,0,,bpm=6460839
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220210,Respiratory Rate,6393762,6393762,0,0,0,0,0,0,0,0,quantitative,Qn,0,,insp/min=6393762
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220277,O2 saturation pulseoxymetry,6324341,6324341,0,0,0,0,0,0,0,0,quantitative,Qn,0,,%=6324341
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,Heart Rhythm,5907987,0,5907987,0,0,0,0,0,0,0,enumerated,NomOrd,26,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224650,Ectopy Type 1,5272404,0,5272404,0,0,0,0,0,0,0,enumerated,NomOrd,16,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220179,Non Invasive Blood Pressure systolic,4067219,4067219,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=4067219
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220180,Non Invasive Blood Pressure diastolic,4066337,4066337,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=4066337
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220181,Non Invasive Blood Pressure mean,4064537,4064537,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=4064537
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227958,Less Restrictive Measures,3333656,0,3333656,0,0,0,0,0,0,0,enumerated,NomOrd,14,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51221,Hematocrit,3325700,3318138,7562,0,0,0,0,0,0,0,quantitative,Qn,20,,%=3318138
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50912,Creatinine,3282278,3281300,977,0,0,0,0,0,1,1,quantitative,Qn,11,,mg/dL=3281300
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51265,Platelet Count,3216656,3206337,10319,0,0,0,0,0,0,0,quantitative,Qn,34,,K/uL=3206337
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51006,Urea Nitrogen,3189474,3187680,1793,0,0,0,0,0,1,1,quantitative,Qn,7,,mg/dL=3187680
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51222,Hemoglobin,3188835,3183429,5406,0,0,0,0,0,0,0,quantitative,Qn,25,,g/dL=3183429
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51301,White Blood Cells,3171798,3164431,7367,0,0,0,0,0,0,0,quantitative,Qn,25,,K/uL=3164431
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51249,MCHC,3167190,3161040,6150,0,0,0,0,0,0,0,quantitative,Qn,36,,%=1798648;g/dL=1362392
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51279,Red Blood Cells,3167075,3160846,6229,0,0,0,0,0,0,0,quantitative,Qn,12,,m/uL=3160846
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51250,MCV,3167074,3160802,6272,0,0,0,0,0,0,0,quantitative,Qn,41,yes,fL=3160802
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51248,MCH,3167073,3160643,6430,0,0,0,0,0,0,0,quantitative,Qn,23,,pg=3160643
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51277,RDW,3166860,3158705,8155,0,0,0,0,0,0,0,quantitative,Qn,43,yes,%=3158705
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50971,Potassium,3150261,3148658,1602,0,0,0,0,0,1,1,quantitative,Qn,11,,mEq/L=3148658
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50983,Sodium,3119778,3119339,438,0,0,0,0,0,1,1,quantitative,Qn,11,,mEq/L=3119339
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50902,Chloride,3083705,3083234,470,0,0,0,0,0,1,1,quantitative,Qn,8,,mEq/L=3083234
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226559,Foley,2977848,2977848,0,0,0,0,0,0,0,0,quantitative,Qn,0,,ml=2977848
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50882,Bicarbonate,2972827,2972049,777,0,0,0,0,0,1,1,quantitative,Qn,8,,mEq/L=2972049
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50868,Anion Gap,2965452,2965414,28,0,0,0,0,0,10,10,quantitative,Qn,1,,mEq/L=2965414
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50931,Glucose,2749562,2749198,363,0,0,0,0,0,1,1,quantitative,Qn,1,,mg/dL=2749198
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224080,Head of Bed,2441517,0,2441517,0,0,0,0,0,0,0,enumerated,NomOrd,8,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224082,Turn,2410497,0,2410497,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224086,Activity Tolerance,2315821,0,2315821,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224093,Position,2276474,0,2276474,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220052,Arterial Blood Pressure mean,2272013,2272013,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=2272013
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220050,Arterial Blood Pressure systolic,2264001,2264001,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=2264001
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220051,Arterial Blood Pressure diastolic,2263647,2263647,0,0,0,0,0,0,0,0,quantitative,Qn,0,,mmHg=2263647
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50893,"Calcium, Total",2190816,2190520,295,0,0,0,0,0,1,1,quantitative,Qn,3,,mg/dL=2190520
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50960,Magnesium,2154209,2153904,304,0,0,0,0,0,1,1,quantitative,Qn,9,,mg/dL=2153904
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50970,Phosphate,2066052,2065818,233,0,0,0,0,0,1,1,quantitative,Qn,5,,mg/dL=2065818
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223792,Pain Management,2023663,0,2023663,0,0,0,0,0,0,0,enumerated,NomOrd,15,,
Observation.code,http://loinc.org,2708-6,Oxygen saturation in Arterial blood,1989697,1833265,0,0,0,0,0,0,156432,156432,quantitative,Qn,0,,%=1833265
Observation.code,http://loinc.org,8310-5,Body temperature,1989697,1401314,0,0,0,0,0,0,588383,588383,quantitative,Qn,0,,F|[degF]=1401314
Observation.code,http://loinc.org,85354-9,Blood pressure panel with all children optional,1989697,0,0,0,0,0,0,0,1989697,100347,no-value,,0,,
Observation.code,http://loinc.org,8867-4,Heart rate,1989697,1902897,0,0,0,0,0,0,86800,86800,quantitative,Qn,0,,beats/minute|/min=1902897
Observation.code,http://loinc.org,9279-1,Respiratory rate,1989697,1879951,0,0,0,0,0,0,109746,109746,quantitative,Qn,0,,breaths/minute|/min=1879951
Observation.code,http://loinc.org,98137-3,Pain assessment report,1989697,0,1533702,0,0,0,0,0,455995,455995,free-text,Nar,3106,yes,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228905,Altered Respiratory Status NCP - Interventions,1874646,0,1874646,0,0,0,0,0,0,0,enumerated,NomOrd,31,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229381,Orientation,1854119,1854119,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224642,Temperature Site,1842387,0,1842387,0,0,0,0,0,0,0,enumerated,NomOrd,7,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220739,GCS - Eye Opening,1630825,1630825,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223900,GCS - Verbal Response,1627786,1627786,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223901,GCS - Motor Response,1623795,1623795,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://loinc.org,8884-9,Heart rate rhythm,1564610,0,59610,0,0,0,0,0,1505000,1504950,free-text,Nar,1128,yes,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223781,Pain Present,1555736,0,1555736,0,0,0,0,0,0,0,enumerated,NomOrd,2,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224073,Education Topic,1554925,0,1554925,0,0,0,0,0,0,0,enumerated,NomOrd,38,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228868,Assistance,1551630,0,1551630,0,0,0,0,0,0,0,enumerated,NomOrd,8,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,226732,O2 Delivery Device(s),1536870,0,1536870,0,0,0,0,0,0,0,enumerated,NomOrd,19,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224089,Anti Embolic Device,1527346,0,1527346,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223761,Temperature Fahrenheit,1515962,1515962,0,0,0,0,0,0,0,0,quantitative,Qn,0,,°F=1515962
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224641,Alarms On,1499158,1499158,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223987,RLL Lung Sounds,1473353,0,1473353,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228928,Impaired Tissue Perfusion NCP - Interventions,1472246,0,1472246,0,0,0,0,0,0,0,enumerated,NomOrd,24,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224168,Parameters Checked,1471381,1471381,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223989,LLL Lung Sounds,1468210,0,1468210,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50934,H,1457350,1457262,88,0,0,0,0,0,0,0,quantitative,Qn,2,,U=703
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51678,L,1457335,1457246,89,0,0,0,0,0,0,0,quantitative,Qn,3,,U=697
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50947,I,1457326,1457239,87,0,0,0,0,0,0,0,quantitative,Qn,2,,U=706
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223986,RUL Lung Sounds,1450737,0,1450737,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223988,LUL Lung Sounds,1448134,0,1448134,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227944,Side Rails,1413161,0,1413161,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51237,INR(PT),1399650,1388219,11430,0,0,0,0,0,1,1,quantitative,Qn,64,yes,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51274,PT,1398998,1387692,11305,0,0,0,0,0,1,1,quantitative,Qn,47,yes,sec=1387692
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228988,Safety Restraints NCP - Interventions,1391021,0,1391021,0,0,0,0,0,0,0,enumerated,NomOrd,24,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50920,Estimated GFR (MDRD equation),1373686,0,1372747,0,0,0,0,0,939,939,free-text,Nar,3026,yes,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223795,Pain Assessment Method,1368446,0,1368446,0,0,0,0,0,0,0,enumerated,NomOrd,8,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,52172,RDW-SD,1365729,1360565,5164,0,0,0,0,0,0,0,quantitative,Qn,2,,fL=1360563
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224003,Abdominal Assessment,1355393,0,1355393,0,0,0,0,0,0,0,enumerated,NomOrd,11,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50861,Alanine Aminotransferase (ALT),1348729,1342051,6678,0,0,0,0,0,0,0,quantitative,Qn,15,,IU/L=1342051
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,225054,Anti Embolic Device Status,1340492,0,1340492,0,0,0,0,0,0,0,enumerated,NomOrd,2,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50878,Asparate Aminotransferase (AST),1321132,1320656,476,0,0,0,0,0,0,0,quantitative,Qn,10,,IU/L=1320656
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224084,Activity,1289452,0,1289452,0,0,0,0,0,0,0,enumerated,NomOrd,6,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224001,Diet Type,1285595,0,1285595,0,0,0,0,0,0,0,enumerated,NomOrd,23,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51275,PTT,1261627,1248398,13229,0,0,0,0,0,0,0,quantitative,Qn,70,yes,sec=1248398
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223783,Pain Location,1253872,0,1253872,0,0,0,0,0,0,0,enumerated,NomOrd,48,yes,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224087,Therapeutic Bed,1248921,0,1248921,0,0,0,0,0,0,0,enumerated,NomOrd,11,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51244,Lymphocytes,1241592,1237726,3866,0,0,0,0,0,0,0,quantitative,Qn,8,,%=1237726
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51256,Neutrophils,1241592,1237724,3868,0,0,0,0,0,0,0,quantitative,Qn,8,,%=1237724
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51254,Monocytes,1241591,1237726,3865,0,0,0,0,0,0,0,quantitative,Qn,8,,%=1237726
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51146,Basophils,1241587,1237711,3876,0,0,0,0,0,0,0,quantitative,Qn,18,,%=1237711
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,51200,Eosinophils,1241587,1237718,3869,0,0,0,0,0,0,0,quantitative,Qn,10,,%=1237718
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224088,Pressure Reducing Device,1223728,0,1223728,0,0,0,0,0,0,0,enumerated,NomOrd,10,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223907,Pupil Size Right,1204273,0,1204273,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224733,Pupil Size Left,1202270,0,1202270,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227121,Pupil Response Right,1192117,0,1192117,0,0,0,0,0,0,0,enumerated,NomOrd,3,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223999,Oral Cavity,1187662,0,1187662,0,0,0,0,0,0,0,enumerated,NomOrd,10,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227288,Pupil Response Left,1187644,0,1187644,0,0,0,0,0,0,0,enumerated,NomOrd,3,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50885,"Bilirubin, Total",1174903,1158743,16160,0,0,0,0,0,0,0,quantitative,Qn,3,,mg/dL=1158743
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,50863,Alkaline Phosphatase,1171421,1171283,138,0,0,0,0,0,0,0,quantitative,Qn,5,,IU/L=1171283
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228096,Richmond-RAS Scale,1149546,1149546,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,229321,Activity / Mobility (JH-HLM),1140357,1140357,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224015,Urine Source,1138637,0,1138637,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224004,Bowel Sounds,1079035,0,1079035,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228947,Infection NCP - Interventions,1075834,0,1075834,0,0,0,0,0,0,0,enumerated,NomOrd,13,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227947,Reason for Restraint (Non-violent),1073708,0,1073708,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228924,Impaired Tissue Perfusion NCP - Expected outcomes,1065993,0,1065993,0,0,0,0,0,0,0,enumerated,NomOrd,15,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223934,Dorsal PedPulse R,1027492,0,1027492,0,0,0,0,0,0,0,enumerated,NomOrd,7,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223943,Dorsal PedPulse L,1013331,0,1013331,0,0,0,0,0,0,0,enumerated,NomOrd,7,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224031,Edema Location,992516,0,992516,0,0,0,0,0,0,0,enumerated,NomOrd,18,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,226168,Oral Care,979698,0,979698,0,0,0,0,0,0,0,enumerated,NomOrd,7,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223794,Pain Level Acceptable,972201,0,972201,0,0,0,0,0,0,0,enumerated,NomOrd,5,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223991,Cough Effort,969682,0,969682,0,0,0,0,0,0,0,enumerated,NomOrd,3,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224026,Skin Integrity,968582,0,968582,0,0,0,0,0,0,0,enumerated,NomOrd,2,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227954,Status and Comfort,968182,0,968182,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224016,Urine Color,963410,0,963410,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224027,Skin Temperature,952619,0,952619,0,0,0,0,0,0,0,enumerated,NomOrd,4,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223791,Pain Level,946096,660437,285659,0,0,0,0,0,0,0,mixed,,1,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224028,Skin Color,941550,0,941550,0,0,0,0,0,0,0,enumerated,NomOrd,9,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227955,Food and Fluid,936565,0,936565,0,0,0,0,0,0,0,enumerated,NomOrd,6,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224860,Skin Condition,936515,0,936515,0,0,0,0,0,0,0,enumerated,NomOrd,5,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228305,ST Segment Monitoring On,935475,935475,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228299,Goal Richmond-RAS Scale,916145,916145,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224876,Urine Appearance,906144,0,906144,0,0,0,0,0,0,0,enumerated,NomOrd,5,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223784,Pain Cause,901269,0,901269,0,0,0,0,0,0,0,enumerated,NomOrd,11,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228898,Impaired Fluid Balance NCP - Interventions,890590,0,890590,0,0,0,0,0,0,0,enumerated,NomOrd,28,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223835,Inspired O2 Fraction,849875,849875,0,0,0,0,0,0,0,0,quantitative,Qn,0,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224651,Ectopy Frequency 1,841843,0,841843,0,0,0,0,0,0,0,enumerated,NomOrd,5,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,228937,Post-op Care NCP - Interventions,835233,0,835233,0,0,0,0,0,0,0,enumerated,NomOrd,11,,
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,227948,Restraint Device (Non-violent),829675,0,829675,0,0,0,0,0,0,0,enumerated,NomOrd,8,,
